country,question_id,question,trait,high,moderately_high,medium,moderately_low,low
USA,0,"Imagine you are in Lisa's shoes, having reached the pinnacle of your career. You have the opportunity to redefine the vision of your company. How would you approach creating a new, innovative strategy that challenges the status quo?",Openness to Experience,"I would conduct extensive research on emerging trends, seek diverse opinions, and brainstorm with a team to create a groundbreaking vision unlike anything seen before.",I would explore new ideas and collaborate with my team to develop a strategic plan that embraces some unconventional methods.,I would gather feedback from trusted colleagues and consider incorporating new elements while keeping core strategies intact.,I would analyze current successful strategies and make slight adjustments to improve them without making major changes.,"I would stick with the proven strategies that have helped us succeed in the past, making minimal adjustments only when necessary."
USA,1,"Assume you are Lisa, and one of your first tasks as CEO is to implement a new organizational structure. How detailed and methodical would you be in creating and ensuring the completion of this plan?",Conscientiousness,"I would develop an exhaustive plan with detailed steps, timelines, and checkpoints, ensuring every part is meticulously accounted for and monitored.",I would create a comprehensive plan with clear steps and regular reviews to ensure we're on track and can adapt if necessary.,"I would outline a solid plan with defined goals and a basic strategy, checking in periodically to ensure progress.","I would draft a general plan with essential steps, allowing room for flexibility as we proceed.","I would prefer a broad outline and adapt the structure as we go, focusing more on big-picture goals than detailed planning."
USA,2,"Picture yourself as Lisa at the celebration of your promotion. How would you engage with the crowd, including colleagues and members of the tech community, during such a public event?",Extraversion,"I would actively engage with as many people as possible, initiating vibrant conversations and connecting with new faces.","I would circulate among the guests, participating in lively discussions and introducing myself to some new people.",I would chat with those who approach me and engage in friendly conversations with familiar faces.,I would interact mostly with my close colleagues and respond to conversations when approached.,I would stay close to a few familiar faces and mostly listen rather than initiating any conversations.
USA,3,"Imagine you are Lisa and you face a decision that could significantly affect your employees' work-life balance. How would you handle this situation, taking into consideration the input and wellbeing of your team?",Agreeableness,"I would hold a meeting to collaboratively discuss the decision, ensuring everyone's concerns and suggestions are considered before making a choice.",I would gather feedback from the team through a survey and try to incorporate the majority opinion into my decision while balancing company needs.,I would discuss the decision with a few team leaders to understand major concerns and then decide what seems fair for most.,"I would make the decision after considering general company policies, offering minimal adjustment for team concerns.","I would make the decision based primarily on company priorities, informing the team afterward with little input on their work-life balance."
USA,4,"Assume you are Lisa, now managing the pressure of being a CEO in the fast-paced tech industry. How would you manage feelings of stress and anxiety related to your new responsibilities?",Neuroticism,"I often find myself overwhelmed and struggle to keep my worries under control, thinking about potential worst-case scenarios frequently.",I sometimes feel tense and nervous but try to address it by taking frequent breaks to reset my mind.,"I feel stress occasionally, but I try to balance it with relaxation techniques and focus on what I can control.",I usually manage my stress well by maintaining a healthy routine and staying optimistic about my capabilities.,"I rarely feel stress and remain calm under pressure, confident in my ability to handle any challenge that comes my way."
USA,5,"Imagine you are Michael, about to start your new life in bustling New York City. A colleague invites you to an art exhibition in a part of the city you've never explored. How would you feel about accepting this invitation and attending the event?",Openness to Experience,I'm thrilled about the opportunity to explore a new area and experience the art scene; I can't wait to see what surprises the night holds.,"I'm quite excited to see the exhibition and check out a new neighborhood, it's a great chance to broaden my horizons.","I think it would be interesting to attend the event and explore the area, though I'm not overly eager or anxious about it.","I'm somewhat hesitant about attending, but I might go just to see what it's like and maybe learn something new.","I'm not really interested in going to the exhibition or exploring the new area, as I prefer to stick to familiar places and activities."
USA,6,"Assume you are Michael, working on an important case with a tight deadline at the law firm. How would you manage your time and responsibilities to ensure everything is completed to the best of your ability?",Conscientiousness,"I would create a detailed schedule, prioritize tasks, and dedicate extra hours to ensure every detail is thoroughly reviewed and prepared.","I would make a task list, focus on key priorities, and work diligently with my team to share responsibilities effectively.",I would aim to balance office hours efficiently with a focus on completing major tasks while meeting the deadline.,I would work on tasks when I can and check in with the team occasionally to ensure we're on track.,I would do the tasks that seem most urgent and leave some details for later if I run out of time.
USA,7,Imagine you are Michael at a networking event with many people from the law firm and others in the legal profession. How do you approach making new connections and interacting with strangers at the event?,Extraversion,"I dive right in, introducing myself to everyone, engaging in lively conversations, and exchanging contact information with as many people as possible.","I actively seek out conversations with several people, showing genuine interest in their work and exchanging contact details with those I connect with.","I talk to a few new people, joining group discussions and exchanging contacts with those I find interesting.",I prefer to stick to conversations with just one or two familiar faces and might introduce myself to one new person if I'm feeling up for it.,"I stay mostly in the background, perhaps talking briefly to one familiar person and avoiding introducing myself to strangers unless approached."
USA,8,Assume you are Michael and you learn that a fellow colleague is struggling to meet their project deadlines. How would you react or what steps might you take to support your colleague?,Agreeableness,I would offer to help them organize their tasks and stay late at work to ensure they meet their deadlines.,I would check in with them regularly to see if they need help and offer assistance when I can.,I would suggest they seek help if needed and offer some tips for managing their workload.,I might send an email suggesting they talk to the team leader for support.,I would focus on my own work and assume they'll ask for help if they truly need it.
USA,9,"Imagine you are Michael, feeling uncertain and anxious about adapting to life in New York City and the high-pressure environment of the prestigious law firm. How do you typically cope with these feelings and stress?",Neuroticism,I constantly fret about everything and find myself overwhelmed by the pressure and uncertainty.,I often feel anxious and talk to friends frequently for reassurance and support.,I manage by balancing my emotions with some relaxation techniques whenever I feel stressed.,"I feel a bit on edge sometimes, but I tend to tackle stress by focusing on my work and goals.","I generally remain calm and composed, seeing challenges as opportunities for growth."
USA,10,"Imagine you are Emily, and you've been invited to collaborate with a leading avant-garde designer after your success in New York Fashion Week. How would you approach the opportunity to innovate and explore uncharted territories in fashion design?",Openness to Experience,"I would eagerly engage in radical experimentation, embracing bold concepts and unconventional materials to push the boundaries of fashion.","I’m excited to explore new ideas and integrate unconventional elements into my designs, balancing creativity with practicality.",I plan to incorporate some new elements while maintaining the core of my design style to see how they blend together.,"I will selectively try out innovative ideas, but primarily stick to proven techniques and styles that have worked for me in the past.","I prefer to rely on traditional designs and methods, ensuring consistency and avoiding unnecessary risks."
USA,11,"Assume you are in Emily's shoes, preparing for a crucial follow-up presentation for potential investors. How would you organize your time and resources to ensure everything is ready and goes smoothly?",Conscientiousness,"Create a detailed schedule weeks in advance, allocate specific time slots for each task, and prepare contingency plans for any potential issues.","Draft a timeline and checklist a week before the presentation, prioritizing tasks based on their importance and complexity.",Make a general plan to follow in the days leading up to the presentation and ensure the main points are covered.,Start organizing a couple of days ahead and focus primarily on the most essential parts of the presentation.,"Prepare the night before and focus on winging it with little organized preparation, relying more on improvisation."
USA,12,Imagine you are Emily attending a high-profile networking event after New York Fashion Week. How would you navigate the crowd to build connections and make the most of the social opportunities available?,Extraversion,"I would proactively approach as many people as possible, introducing myself with enthusiasm and engaging in lively conversations to create lasting connections.","I would confidently join groups discussing topics of interest, sharing my insights and making sure to follow up with key contacts.","I would mingle and talk with people at a comfortable pace, ensuring I meet a few new people and exchange contact information.","I would speak with a small number of people who seem approachable, focusing on quality interactions over quantity.","I would observe the event, speaking mostly with familiar faces or waiting for others to approach me."
USA,13,"Imagine you are Emily, now a well-known fashion designer. After your success at New York Fashion Week, a new designer approaches you, seeking mentorship and collaboration. How do you respond to this request, considering your own experiences and current commitments?",Agreeableness,"I'd be delighted to mentor you and collaborate on new projects together, let's schedule regular sessions to help with your growth.",I'd love to collaborate; let's find a way to work together while balancing my other obligations.,I'm interested in exploring a collaboration and can offer some mentorship on a less frequent basis for now.,"Given my current commitments, I might have limited time but I can offer a quick meeting to discuss some initial ideas.","I'm afraid I can't commit to mentorship at the moment due to my schedule, but I wish you the best in your endeavors."
USA,14,Imagine you've been in Emily's place and suddenly face unexpected criticism of your designs in a popular fashion magazine. How would you emotionally process and respond to this criticism?,Neuroticism,"I would be devastated and constantly worry about what others think of me, losing sleep over the criticism.","I would feel very upset and anxious, particularly concerned about how this might affect my reputation.",I would feel disappointed at first but try to view the criticism as a chance to improve my designs.,"I would acknowledge the criticism, but stay focused on my overall goals and not let it bother me too much.","I would take it in stride, seeing it as a minor opinion that doesn't define my work or self-worth."
USA,15,"Imagine you are Eric, having just completed a new engineering course. You have the option to work on a cutting-edge project with new technologies or continue with the traditional projects you're familiar with. Which path do you choose and why?",Openness to Experience,I choose the cutting-edge project because I am eager to explore new technologies and challenge myself with innovative ideas.,"I would prefer the new technologies project because I'm interested in broadening my experience, though I might need time to adapt.","I feel comfortable with both options, so I might initially try the traditional projects while occasionally exploring new technologies.","I'd rather continue with traditional projects because I'm more confident in my skills there, but I am not entirely opposed to new opportunities.",I choose to stick with traditional projects as they align with my current expertise and provide a sense of security.
USA,16,"Assume you are Eric, tasked with presenting a critical project update to the company's executives. How do you prepare for this meeting to ensure it goes smoothly and meets high standards?",Conscientiousness,"I meticulously plan every detail, create a thorough presentation, rehearse multiple times, and gather all necessary data ahead of time.",I prepare a detailed presentation and practice my delivery a couple of times to ensure I can present confidently.,I put together the main points for my presentation and review the material once to make sure I'm ready.,I draft my presentation the day before and glance over the key points briefly.,"I prepare last-minute, with little practice, trusting I can handle questions on the spot."
