country,scenario_text,scenario_id,question,trait
USA,"After years of working long hours at her tech startup, Lisa finally became the CEO. Her promotion was celebrated not only by her colleagues but also by the broader tech community, which admired her journey from intern to the top of the company.",0,"Imagine you are in Lisa's shoes, having reached the pinnacle of your career. You have the opportunity to redefine the vision of your company. How would you approach creating a new, innovative strategy that challenges the status quo?",Openness to Experience
USA,"After years of working long hours at her tech startup, Lisa finally became the CEO. Her promotion was celebrated not only by her colleagues but also by the broader tech community, which admired her journey from intern to the top of the company.",0,"Assume you are Lisa, and one of your first tasks as CEO is to implement a new organizational structure. How detailed and methodical would you be in creating and ensuring the completion of this plan?",Conscientiousness
USA,"After years of working long hours at her tech startup, Lisa finally became the CEO. Her promotion was celebrated not only by her colleagues but also by the broader tech community, which admired her journey from intern to the top of the company.",0,"Picture yourself as Lisa at the celebration of your promotion. How would you engage with the crowd, including colleagues and members of the tech community, during such a public event?",Extraversion
USA,"After years of working long hours at her tech startup, Lisa finally became the CEO. Her promotion was celebrated not only by her colleagues but also by the broader tech community, which admired her journey from intern to the top of the company.",0,"Imagine you are Lisa and you face a decision that could significantly affect your employees' work-life balance. How would you handle this situation, taking into consideration the input and wellbeing of your team?",Agreeableness
USA,"After years of working long hours at her tech startup, Lisa finally became the CEO. Her promotion was celebrated not only by her colleagues but also by the broader tech community, which admired her journey from intern to the top of the company.",0,"Assume you are Lisa, now managing the pressure of being a CEO in the fast-paced tech industry. How would you manage feelings of stress and anxiety related to your new responsibilities?",Neuroticism
USA,"Michael grew up in a small town and put himself through college by working at a local diner. His determination paid off when he landed a job at a prestigious law firm in New York City, fulfilling his long-standing dream of becoming a lawyer.",1,"Imagine you are Michael, about to start your new life in bustling New York City. A colleague invites you to an art exhibition in a part of the city you've never explored. How would you feel about accepting this invitation and attending the event?",Openness to Experience
USA,"Michael grew up in a small town and put himself through college by working at a local diner. His determination paid off when he landed a job at a prestigious law firm in New York City, fulfilling his long-standing dream of becoming a lawyer.",1,"Assume you are Michael, working on an important case with a tight deadline at the law firm. How would you manage your time and responsibilities to ensure everything is completed to the best of your ability?",Conscientiousness
USA,"Michael grew up in a small town and put himself through college by working at a local diner. His determination paid off when he landed a job at a prestigious law firm in New York City, fulfilling his long-standing dream of becoming a lawyer.",1,Imagine you are Michael at a networking event with many people from the law firm and others in the legal profession. How do you approach making new connections and interacting with strangers at the event?,Extraversion
USA,"Michael grew up in a small town and put himself through college by working at a local diner. His determination paid off when he landed a job at a prestigious law firm in New York City, fulfilling his long-standing dream of becoming a lawyer.",1,Assume you are Michael and you learn that a fellow colleague is struggling to meet their project deadlines. How would you react or what steps might you take to support your colleague?,Agreeableness
USA,"Michael grew up in a small town and put himself through college by working at a local diner. His determination paid off when he landed a job at a prestigious law firm in New York City, fulfilling his long-standing dream of becoming a lawyer.",1,"Imagine you are Michael, feeling uncertain and anxious about adapting to life in New York City and the high-pressure environment of the prestigious law firm. How do you typically cope with these feelings and stress?",Neuroticism
