country,norm_text,norm_id,scenario
USA,"Americans place a high value on earned status, which is achieved through hard work, individual effort, and self-reliance.",0,"After years of working long hours at her tech startup, Lisa finally became the CEO. Her promotion was celebrated not only by her colleagues but also by the broader tech community, which admired her journey from intern to the top of the company."
USA,"Americans place a high value on earned status, which is achieved through hard work, individual effort, and self-reliance.",0,"Michael grew up in a small town and put himself through college by working at a local diner. His determination paid off when he landed a job at a prestigious law firm in New York City, fulfilling his long-standing dream of becoming a lawyer."
USA,"Americans place a high value on earned status, which is achieved through hard work, individual effort, and self-reliance.",0,"Despite facing financial struggles, Emily spent years developing her fashion brand. Her relentless effort was recognized when her designs were featured in New York Fashion Week, catapulting her into the limelight."
USA,"Americans place a high value on earned status, which is achieved through hard work, individual effort, and self-reliance.",0,"Eric started his career as a janitor in a large manufacturing company. Through dedication and evening classes, he became a skilled engineer and eventually led a team of innovators at the same company."
USA,"Americans place a high value on earned status, which is achieved through hard work, individual effort, and self-reliance.",0,"In high school, James was inspired by his chemistry teacher and decided to become a scientist. After years of study and research, he patented a groundbreaking medical device, earning him national recognition in the scientific community."
USA,"Americans place a high value on earned status, which is achieved through hard work, individual effort, and self-reliance.",0,"Anna, passionate about food and hospitality, worked her way up from a dishwasher to owning her own restaurant. Her business flourished, and she became a respected figure in the local culinary scene."
USA,"Americans place a high value on earned status, which is achieved through hard work, individual effort, and self-reliance.",0,"Having started as a freelance graphic designer, Max built a successful digital agency over several years. His reputation for quality and creativity brought him contracts with well-known brands, showcasing his rise in the industry."
USA,"Americans place a high value on earned status, which is achieved through hard work, individual effort, and self-reliance.",0,"Samantha faced many challenges as a single mother, but she completed her nursing degree while raising her children. Her perseverance was rewarded with a leadership role at a reputable hospital, where she now mentors younger nurses."
USA,"Americans place a high value on earned status, which is achieved through hard work, individual effort, and self-reliance.",0,"Josh, once an avid gamer, taught himself programming during college, eventually developing his own video game. His hard work paid off when the game became a hit, and he was invited to speak at international gaming conventions."
USA,"Americans place a high value on earned status, which is achieved through hard work, individual effort, and self-reliance.",0,"While working two jobs, Carlos pursued his dream of becoming a filmmaker. His short film was accepted into a major film festival, marking a turning point in his career and leading to widespread acclaim."
USA,"The pursuit of happiness is a deeply ingrained ideal in American culture, with individuals striving to find fulfillment and contentment in life.",1,"After years of working in a corporate job, Sarah decides to open her own bakery, combining her passion for baking with her desire for autonomy."
USA,"The pursuit of happiness is a deeply ingrained ideal in American culture, with individuals striving to find fulfillment and contentment in life.",1,"John takes a sabbatical from his engineering job to travel across the country, visiting all 50 states to experience new cultures and meet diverse people."
USA,"The pursuit of happiness is a deeply ingrained ideal in American culture, with individuals striving to find fulfillment and contentment in life.",1,"Emily enrolls in night classes to pursue a degree in art history, a subject she's always loved but never had the chance to study before."
USA,"The pursuit of happiness is a deeply ingrained ideal in American culture, with individuals striving to find fulfillment and contentment in life.",1,"After moving to a small town, Mike volunteers at the local animal shelter, finding joy in caring for animals and making new friends in the community."
USA,"The pursuit of happiness is a deeply ingrained ideal in American culture, with individuals striving to find fulfillment and contentment in life.",1,"Inspired by the mountains, Lisa moves to Colorado and takes up skiing, relishing the connection with nature and the thrill of learning a new sport."
USA,"The pursuit of happiness is a deeply ingrained ideal in American culture, with individuals striving to find fulfillment and contentment in life.",1,"Thomas leaves his high-pressure job in the city and buys a small farm, where he grows organic produce and sells it at the farmer's market."
USA,"The pursuit of happiness is a deeply ingrained ideal in American culture, with individuals striving to find fulfillment and contentment in life.",1,"After her children have grown, Karen takes up painting, joining a local art group where she finds both creative expression and camaraderie."
USA,"The pursuit of happiness is a deeply ingrained ideal in American culture, with individuals striving to find fulfillment and contentment in life.",1,"Alex spends weekends building a custom motorcycle in his garage, fulfilling a lifelong dream of designing and riding a bike of his own creation."
USA,"The pursuit of happiness is a deeply ingrained ideal in American culture, with individuals striving to find fulfillment and contentment in life.",1,"Laura decides to work remotely as a graphic designer, allowing her to live in different parts of the country and explore new environments."
USA,"The pursuit of happiness is a deeply ingrained ideal in American culture, with individuals striving to find fulfillment and contentment in life.",1,"Brian dedicates his Saturdays to coaching a youth soccer team, finding satisfaction in mentoring young players and contributing to his community."
USA,"Americans are encouraged to be autonomous and independent, taking personal responsibility for their own success and well-being.",2,"After graduating from college, Sarah decides to move to a new city to start her career, relying on her savings and job search skills to find an apartment and employment."
USA,"Americans are encouraged to be autonomous and independent, taking personal responsibility for their own success and well-being.",2,"Tom, a teenager, starts his own lawn mowing business in his neighborhood to save money for a car, learning to manage his finances and client relationships in the process."
USA,"Americans are encouraged to be autonomous and independent, taking personal responsibility for their own success and well-being.",2,"Lisa chooses to run a marathon in another state, planning her training schedule, travel arrangements, and accommodations independently."
USA,"Americans are encouraged to be autonomous and independent, taking personal responsibility for their own success and well-being.",2,"James, a software engineer, decides to leave his comfortable corporate job to launch a startup, writing a business plan and seeking investors on his own."
