country,question_id,question,trait,high,moderately_high,medium,moderately_low,low
brazil,0,"Imagine you are one of the hosts at an outdoor celebration in Brazil, and a sudden rainstorm forces everyone inside. How would you approach making the indoor area interesting and engaging for your guests despite the change of plans?",Openness to Experience,"I would transform the space by rearranging furniture, adding colorful lights, playing lively Brazilian music, and introducing interactive games to create a vibrant atmosphere.",I would set up some music and organize a couple of party games to ensure everyone stays entertained.,I would coordinate with my co-hosts to quickly ensure there's music playing and perhaps a few drinks or snacks available to keep the vibe going.,I would suggest everyone make themselves comfortable and maybe switch on some background music.,I would let everyone know they are free to relax indoors and wait for the rain to stop.
brazil,1,Assume you are in charge of ensuring everything runs smoothly at an impromptu indoor celebration in Brazil due to rain. How would you organize and prioritize tasks to make sure all guests are comfortable and everything is well managed?,Conscientiousness,"I would create a detailed plan, delegate tasks to a team, regularly check on progress, and ensure all guests' needs are being addressed at all times.","I would develop a plan prioritizing guest comfort, assign tasks to a small group, and check in periodically to adjust as needed.","I would make a list of necessary adjustments, ensure the main issues are addressed, and check with guests for any immediate needs.","I would focus on the most pressing tasks, address major concerns, and rely on others to help manage details.","I would handle tasks as they arise without a formal plan, addressing guest needs only if they become urgent."
brazil,2,Imagine yourself as a guest at a rainy-day celebration in Brazil that has moved indoors. How do you engage with other guests and keep the atmosphere lively and joyful despite the unexpected change of setting?,Extraversion,"I take the lead by initiating a lively dance circle and encouraging everyone to join in, making sure that music and laughter fill the space.","I engage with several groups, sharing exciting stories and encouraging sing-alongs to keep spirits high.","I participate in conversations, occasionally suggesting fun games to keep everyone entertained.","I join a small group, chatting casually and contributing ideas when prompted.","I sit quietly with a couple of people, enjoying the atmosphere and engaging when approached directly."
brazil,3,Assume you are at a Brazilian celebration that had to quickly relocate indoors due to rain. A fellow guest seems unhappy with the sudden change. How would you approach them to help improve their experience and uplift their mood?,Agreeableness,"I'd approach them warmly, eagerly inviting them to join in with our group for some Samba dancing and offer to take their photos to capture new fun memories.","I'd engage them in conversation, suggesting we explore the food and drinks on offer and maybe get to know the new space together.",I'd point out a few interesting features of the indoor venue and suggest checking out some of the activities happening elsewhere.,I'd acknowledge their disappointment and suggest that the change might lead to some surprising moments.,"I'd briefly nod and mention that sometimes these changes lead to unexpected, cozy experiences indoors."
brazil,4,"Imagine you are faced with the sudden closure of your planned outdoor event in Brazil due to rain, leading to a hurried relocation indoors. How do you handle your own stress and keep calm to ensure the event continues smoothly?",Neuroticism,"I struggle to compose myself and frequently worry, doubting we can manage the relocation effectively.",I feel overwhelmed but try to direct my attention to prioritizing critical tasks amidst the chaos.,I acknowledge the stress but trust that cooperation with the team will help manage the situation.,"I focus on problem-solving, organizing team members effectively, and stay positive despite the stress.",I take a moment to meditate and practice deep breathing before calmly addressing the logistics to ensure a smooth transition.
brazil,5,Imagine you are a member of the family and you spot a food stall selling a unique dish you've never tried before. How likely are you to try the new dish and how do you feel about experiencing something novel during your picnic?,Openness to Experience,"I'm very eager to try the new dish and always look forward to exploring novel experiences, especially during a picnic.",I'm quite interested in giving the new dish a try and enjoy the chance to experience something different.,"I'm open to trying new things, though I might also stick with familiar favorites depending on how I feel.","I'm somewhat hesitant about new dishes, often preferring to stick to what I know, but might consider trying it out.",I'm not interested in trying the new dish. I prefer to enjoy the picnic with familiar foods I trust.
brazil,6,"Assume you are in charge of organizing the picnic at the park. How do you plan to ensure everything runs smoothly, from purchasing the food from local vendors to setting up a comfortable spot for the family at the park?",Conscientiousness,"I will create a detailed checklist, contact vendors in advance, double-check everything the day before, and arrive early to secure the best spot.","I'll prepare a list of items needed, reach out to local vendors this week, and get to the park a bit early to ensure everything is set up nicely.","I'll make a simple list and buy from the vendors on the day, then look for a decent place when we arrive.",I'll wing it with shopping the morning of the picnic and find us a spot once we get there.,I'll just grab whatever food looks good on the day and see where we can find a spot once we arrive.
brazil,7,Consider you are tasked with interacting with local vendors to purchase food. How would you approach starting conversations with the vendors and engaging with other park-goers during the picnic?,Extraversion,"I would enthusiastically greet the vendors, ask about their specialties, and invite nearby park-goers to join in trying out the best food around.",I would chat with the vendors about their popular items and start a conversation with park-goers about their favorite snacks.,I would ask the vendors for recommendations and casually talk to a few people about the food options.,I would politely ask the vendors for what they suggest and perhaps talk to one or two people if they seem interested.,I would quickly ask the vendors for the necessary items and prefer to eat alone or with close friends.
brazil,8,Imagine you need to mediate among family members who have different opinions about what food to buy. How do you ensure everyone's preferences are considered and create a harmonious atmosphere?,Agreeableness,"I suggest we sit together, listen to everyone's preferences, and find a solution that incorporates all ideas as a celebration of our diverse tastes.",I propose we list everyone's preferences and make a plan that accommodates as many of them as possible.,I take note of everyone's top choices and try to include the most requested items in the plan.,I attempt to consider everyone's opinions but ultimately decide based on practicality.,"I decide on the menu based on what I think is best, considering only the most vocal preferences."
brazil,9,"After arriving at the park for the picnic, you realize that the weather is uncertain and might turn for the worse. How do you respond to this situation, and how do you manage any worry or stress that may arise?",Neuroticism,I immediately feel anxious and can't stop thinking about all the ways the picnic might be ruined by the weather.,"I feel worried, but I try to plan for alternatives, just in case it starts to rain.","I'm concerned, but I decide to go ahead and enjoy the moment while keeping an eye on the weather.","I notice the weather might change, but I remain calm and flexible with our plans.","I don't worry much about the weather; after all, it's out of my control, so I just focus on enjoying the picnic."
brazil,10,"Imagine you are at the festival, and the local band begins playing music you've never heard before. How do you react to this unexpected change in the performance lineup?",Openness to Experience,"I immediately start dancing and immerse myself in the new rhythms, eager to explore every beat.","I listen attentively, enjoying the novelty and looking forward to hearing more.","I keep an open mind and try to appreciate the new style, even if it's unfamiliar.","I decide to listen for a bit, but I'm more curious about when the familiar music will return.",I feel unsure and would rather wait for the type of music I'm used to.
brazil,11,"Assume you are part of the organizing team at the festival, and the band requires assistance setting up quickly. How would you approach ensuring the setup goes smoothly and the performance starts on time?",Conscientiousness,"I’d create a detailed plan in advance, coordinate closely with the band, assign roles to team members, and conduct a quick briefing to ensure everyone knows their responsibilities.","I'd make sure we have a checklist of tasks, discuss the setup process with the band, and delegate tasks to the team while keeping an eye on the time.","I would check in with the band to see what they need and help the team get started on the setup, making sure we're on track.","I would assist wherever I’m needed, following instructions from those leading the setup and being available for last-minute tasks.","I’d help out if asked, focusing on the tasks I’m instructed to do, and rely on others to manage the timeline."
brazil,12,"Picture yourself in the crowd at the festival when the local band starts playing. Do you find yourself moving closer to the stage and joining in with the crowd, or do you prefer to stay back and enjoy the performance from a distance?",Extraversion,"I immediately push through to the front, singing along and dancing with everyone around me.","I move closer to the stage, eager to clap and sing along with some of the other enthusiastic festival-goers.","I enjoy the performance from where I am, occasionally joining in with the crowd's energy.","I stay toward the back, enjoying the music without feeling the need to be directly in the crowd.",I prefer to find a quiet spot away from the crowd where I can listen to the music in peace.
brazil,13,"Imagine the band finishes a song and the audience is divided in their opinions. How do you contribute to the atmosphere or discussions among festival-goers, especially if there are mixed reviews?",Agreeableness,I focus on bringing everyone together by highlighting the positive aspects of the performance and encouraging a respectful exchange of views.,I express appreciation for the band's effort and suggest focusing on the parts of the performance we enjoyed.,"I listen to different opinions and contribute my thoughts, noting both strengths and areas for improvement.","I share my honest opinion and am open to hearing others, even if it stirs some debate.",I stand firm on my viewpoint without much concern for reconciling differing opinions.
brazil,14,"Assume you're eager to see the originally scheduled performers, but they couldn't make it. How do you manage any disappointment or stress about the change in performers during the festival?",Neuroticism,I feel completely overwhelmed and might need to step away for a bit to process the disappointment before I can enjoy the festival again.,"I feel quite stressed about the change and might need some time to adjust my expectations, but I try to focus on other aspects of the festival.",I’m a bit disappointed but I try to stay open-minded and see if the new performers might be enjoyable.,"I feel slightly annoyed, but I brush it off quickly and shift my focus to enjoying the alternative performances.",I’m not overly concerned; I just go with the flow and try to enjoy whatever the festival has to offer.
brazil,15,"Imagine you are part of a group of friends traveling through Brazil, and upon a bus cancellation, you decide to rent a car. You have the chance to explore lesser-known scenic routes instead of taking the main highway. How do you approach exploring these unknown paths?",Openness to Experience,"I enthusiastically suggest taking the scenic routes and make sure we stop frequently to immerse ourselves in the local culture, landscapes, and any spontaneous events along the way.","I'm excited to try the scenic routes and look forward to discovering new places, while ensuring we have a general plan in place.",I'm open to taking the scenic routes as long as we have a map or GPS to guide us and some clear destinations in mind.,"I prefer taking a more predictable route, but I am okay with scenic paths if we make quick and well-planned stops.",I would feel more comfortable sticking to the main highway to ensure we reach our destinations without surprises.
