country,scenario_text,scenario_id,question,trait
brazil,"When a planned outdoor celebration is interrupted by unexpected rain, the guests quickly rearrange seating indoors, and the hosts set up makeshift entertainment areas without complaints.",0,"Imagine you are one of the hosts at an outdoor celebration in Brazil, and a sudden rainstorm forces everyone inside. How would you approach making the indoor area interesting and engaging for your guests despite the change of plans?",Openness to Experience
brazil,"When a planned outdoor celebration is interrupted by unexpected rain, the guests quickly rearrange seating indoors, and the hosts set up makeshift entertainment areas without complaints.",0,Assume you are in charge of ensuring everything runs smoothly at an impromptu indoor celebration in Brazil due to rain. How would you organize and prioritize tasks to make sure all guests are comfortable and everything is well managed?,Conscientiousness
brazil,"When a planned outdoor celebration is interrupted by unexpected rain, the guests quickly rearrange seating indoors, and the hosts set up makeshift entertainment areas without complaints.",0,Imagine yourself as a guest at a rainy-day celebration in Brazil that has moved indoors. How do you engage with other guests and keep the atmosphere lively and joyful despite the unexpected change of setting?,Extraversion
brazil,"When a planned outdoor celebration is interrupted by unexpected rain, the guests quickly rearrange seating indoors, and the hosts set up makeshift entertainment areas without complaints.",0,Assume you are at a Brazilian celebration that had to quickly relocate indoors due to rain. A fellow guest seems unhappy with the sudden change. How would you approach them to help improve their experience and uplift their mood?,Agreeableness
brazil,"When a planned outdoor celebration is interrupted by unexpected rain, the guests quickly rearrange seating indoors, and the hosts set up makeshift entertainment areas without complaints.",0,"Imagine you are faced with the sudden closure of your planned outdoor event in Brazil due to rain, leading to a hurried relocation indoors. How do you handle your own stress and keep calm to ensure the event continues smoothly?",Neuroticism
brazil,"A family finds out their favorite restaurant is overbooked for dinner, so they spontaneously decide to have a picnic at a nearby park using foods they buy from local vendors.",1,Imagine you are a member of the family and you spot a food stall selling a unique dish you've never tried before. How likely are you to try the new dish and how do you feel about experiencing something novel during your picnic?,Openness to Experience
brazil,"A family finds out their favorite restaurant is overbooked for dinner, so they spontaneously decide to have a picnic at a nearby park using foods they buy from local vendors.",1,"Assume you are in charge of organizing the picnic at the park. How do you plan to ensure everything runs smoothly, from purchasing the food from local vendors to setting up a comfortable spot for the family at the park?",Conscientiousness
brazil,"A family finds out their favorite restaurant is overbooked for dinner, so they spontaneously decide to have a picnic at a nearby park using foods they buy from local vendors.",1,Consider you are tasked with interacting with local vendors to purchase food. How would you approach starting conversations with the vendors and engaging with other park-goers during the picnic?,Extraversion
brazil,"A family finds out their favorite restaurant is overbooked for dinner, so they spontaneously decide to have a picnic at a nearby park using foods they buy from local vendors.",1,Imagine you need to mediate among family members who have different opinions about what food to buy. How do you ensure everyone's preferences are considered and create a harmonious atmosphere?,Agreeableness
brazil,"A family finds out their favorite restaurant is overbooked for dinner, so they spontaneously decide to have a picnic at a nearby park using foods they buy from local vendors.",1,"After arriving at the park for the picnic, you realize that the weather is uncertain and might turn for the worse. How do you respond to this situation, and how do you manage any worry or stress that may arise?",Neuroticism
brazil,"During a community festival, one of the performers can't make it, so a local band steps in last minute to perform, keeping the crowd entertained and the festivities alive.",2,"Imagine you are at the festival, and the local band begins playing music you've never heard before. How do you react to this unexpected change in the performance lineup?",Openness to Experience
brazil,"During a community festival, one of the performers can't make it, so a local band steps in last minute to perform, keeping the crowd entertained and the festivities alive.",2,"Assume you are part of the organizing team at the festival, and the band requires assistance setting up quickly. How would you approach ensuring the setup goes smoothly and the performance starts on time?",Conscientiousness
brazil,"During a community festival, one of the performers can't make it, so a local band steps in last minute to perform, keeping the crowd entertained and the festivities alive.",2,"Picture yourself in the crowd at the festival when the local band starts playing. Do you find yourself moving closer to the stage and joining in with the crowd, or do you prefer to stay back and enjoy the performance from a distance?",Extraversion
brazil,"During a community festival, one of the performers can't make it, so a local band steps in last minute to perform, keeping the crowd entertained and the festivities alive.",2,"Imagine the band finishes a song and the audience is divided in their opinions. How do you contribute to the atmosphere or discussions among festival-goers, especially if there are mixed reviews?",Agreeableness
brazil,"During a community festival, one of the performers can't make it, so a local band steps in last minute to perform, keeping the crowd entertained and the festivities alive.",2,"Assume you're eager to see the originally scheduled performers, but they couldn't make it. How do you manage any disappointment or stress about the change in performers during the festival?",Neuroticism
brazil,"A group of friends traveling by bus experience a last-minute cancellation; instead of seeking refunds, they rent a car collectively and continue their journey with enthusiasm.",3,"Imagine you are part of a group of friends traveling through Brazil, and upon a bus cancellation, you decide to rent a car. You have the chance to explore lesser-known scenic routes instead of taking the main highway. How do you approach exploring these unknown paths?",Openness to Experience
brazil,"A group of friends traveling by bus experience a last-minute cancellation; instead of seeking refunds, they rent a car collectively and continue their journey with enthusiasm.",3,"Assume you are responsible for organizing the shared drive after the transportation cancellation in Brazil. How do you ensure that everyone’s needs are met, from planning stops to managing expenses?",Conscientiousness
brazil,"A group of friends traveling by bus experience a last-minute cancellation; instead of seeking refunds, they rent a car collectively and continue their journey with enthusiasm.",3,Imagine you're in the car with your friends driving through the vibrant streets of Brazil after your bus got canceled. How do you engage with your friends and the locals you meet along the way?,Extraversion
brazil,"A group of friends traveling by bus experience a last-minute cancellation; instead of seeking refunds, they rent a car collectively and continue their journey with enthusiasm.",3,"While traveling together by car in Brazil, differences in opinion arise on the choice of music and places to visit. How would you address everyone's preferences to create a harmonious trip?",Agreeableness
brazil,"A group of friends traveling by bus experience a last-minute cancellation; instead of seeking refunds, they rent a car collectively and continue their journey with enthusiasm.",3,Imagine the tension is rising as challenges such as navigation errors and weather changes occur during your car trip in Brazil. How do you manage your stress and maintain your composure to handle these unexpected situations?,Neuroticism
brazil,"At an office, the air conditioning breaks down during a hot day. Employees bring in fans and shift their desks to shadier areas, turning the inconvenience into a team-building exercise.",4,Imagine you are in the office during the air conditioning breakdown. How do you contribute creatively to make this a more enjoyable and productive team-building exercise?,Openness to Experience
brazil,"At an office, the air conditioning breaks down during a hot day. Employees bring in fans and shift their desks to shadier areas, turning the inconvenience into a team-building exercise.",4,Assume you are in the position of coordinating the response to the air conditioning issue. How do you ensure that the team stays productive and organized while dealing with this discomfort?,Conscientiousness
