country,norm_text,norm_id,scenario
brazil,"1. **Conformity and Adaptation**: Brazilians tend to accept situations as given, without questioning their causes, and try to solve problems through improvisation.",0,"When a planned outdoor celebration is interrupted by unexpected rain, the guests quickly rearrange seating indoors, and the hosts set up makeshift entertainment areas without complaints."
brazil,"1. **Conformity and Adaptation**: Brazilians tend to accept situations as given, without questioning their causes, and try to solve problems through improvisation.",0,"A family finds out their favorite restaurant is overbooked for dinner, so they spontaneously decide to have a picnic at a nearby park using foods they buy from local vendors."
brazil,"1. **Conformity and Adaptation**: Brazilians tend to accept situations as given, without questioning their causes, and try to solve problems through improvisation.",0,"During a community festival, one of the performers can't make it, so a local band steps in last minute to perform, keeping the crowd entertained and the festivities alive."
brazil,"1. **Conformity and Adaptation**: Brazilians tend to accept situations as given, without questioning their causes, and try to solve problems through improvisation.",0,"A group of friends traveling by bus experience a last-minute cancellation; instead of seeking refunds, they rent a car collectively and continue their journey with enthusiasm."
brazil,"1. **Conformity and Adaptation**: Brazilians tend to accept situations as given, without questioning their causes, and try to solve problems through improvisation.",0,"At an office, the air conditioning breaks down during a hot day. Employees bring in fans and shift their desks to shadier areas, turning the inconvenience into a team-building exercise."
brazil,"1. **Conformity and Adaptation**: Brazilians tend to accept situations as given, without questioning their causes, and try to solve problems through improvisation.",0,"A student's project presentation relies on a projector that suddenly malfunctions. The student adapts by using a laptop screen and having peers gather around, ensuring the presentation proceeds."
brazil,"1. **Conformity and Adaptation**: Brazilians tend to accept situations as given, without questioning their causes, and try to solve problems through improvisation.",0,"A neighborhood power outage occurs in the evening, and families quickly gather on the streets with candles, sharing stories and dinners, creating an impromptu evening of community bonding."
brazil,"1. **Conformity and Adaptation**: Brazilians tend to accept situations as given, without questioning their causes, and try to solve problems through improvisation.",0,"When a city soccer game faces a delayed start due to a late referee, the teams and their supporters arrange mini-games among themselves to keep spirits high."
brazil,"1. **Conformity and Adaptation**: Brazilians tend to accept situations as given, without questioning their causes, and try to solve problems through improvisation.",0,An entrepreneur finds out their new café's opening is delayed due to a missing permit. They seize the chance to invite friends for a pre-opening social gathering with free coffee samples.
brazil,"1. **Conformity and Adaptation**: Brazilians tend to accept situations as given, without questioning their causes, and try to solve problems through improvisation.",0,"During a beach festival, a sudden gust of wind scatters decorations. Volunteers and attendees cooperate in redecorating, using available resources to improvise a colorful ambiance."
