country,question_id,question,trait,high,moderately_high,medium,moderately_low,low
india,0,"Imagine you are on the crowded train with the group of friends, and they invite you to join in their storytelling and laughter. How do you respond to their invitation?",Openness to Experience,"You enthusiastically jump into the conversation, eager to share your own stories and soak in the diverse experiences of others.","You actively listen and contribute your stories when you find a chance, enjoying the lively atmosphere.","You join in occasionally, sharing a few stories and mainly enjoying the company.",You listen to the stories quietly and only contribute when directly asked.,"You prefer to keep to yourself, politely declining the invitation and focusing on something else."
india,1,"Assume you have a seat reservation, but the group of friends is partially occupying your space. How do you handle the situation while ensuring everyone is comfortable?",Conscientiousness,"Politely remind them about your reservation, help them find an alternative arrangement, and ensure everyone is comfortable.",Gently inform them about your reservation and suggest they adjust slightly to accommodate everyone.,Kindly ask them to make some space while acknowledging it might be a bit crowded.,Casually mention your reservation and hope they'll make space without further discussion.,"Sit wherever there's space, ignoring any reservation, and wait for them to notice."
india,2,Imagine you are on the train and the friends ask you to share a fun travel story. How comfortable are you jumping into their conversation and sharing your own experiences?,Extraversion,"I eagerly join the conversation and share my story with great enthusiasm, making sure everyone is engaged.",I comfortably share my travel story and enjoy the lively exchange with my friends.,"I share a travel story when asked, enjoying the conversation at a moderate pace.",I prefer to listen first but will share a story if there's a natural pause in the conversation.,I mostly listen to the stories others share and only speak if directly asked.
india,3,You're sitting beside the group of friends and they accidentally spill some food on you while sharing. How do you react to maintain harmony in the situation?,Agreeableness,"I smile and assure them it's not a problem at all, accidents happen and propose we clean it together.","I laugh it off, tell them it's okay, and suggest we all continue enjoying the meal.",I say it's alright and ask if someone could help me clean it up.,"I stay quiet and clean it up myself, trying to avoid bringing more attention to it.","I quietly wipe it off and distance myself slightly, feeling a bit awkward."
india,4,Assume the train is very crowded and the noise level from the group of friends is rising. How does this affect your mood and how do you cope with it during the journey?,Neuroticism,"I find the noise extremely unsettling, and it makes me quite anxious. To cope, I try to focus on deep breathing exercises and listen to calming music with noise-cancelling headphones.",The noise makes me a bit on edge and I feel a bit restless. I might try to distract myself by reading or playing a game on my phone.,"While the noise is slightly annoying, I manage by simply accepting it and plugging in headphones to listen to my favorite playlist.",The noise doesn't bother me much; I tend to engage in my own activities and can easily ignore it.,I don't mind the noise at all; it hardly affects my mood. I usually enjoy observing the bustling atmosphere around me.
india,5,"Imagine you are one of the strangers in the bustling Indian market. As the conversation unfolds, the other stranger starts talking about their experiences in various foreign countries. How do you respond to their stories, particularly in terms of your interest in learning more about diverse cultures?",Openness to Experience,I'm absolutely fascinated by different cultures! Please tell me more about the traditions and unique experiences you've encountered.,That's really interesting! I'd love to hear more about the cultural differences and similarities you've noticed.,I enjoy learning about new places; tell me something unique about the countries you've visited.,"I don't mind listening to some of your travel stories, even though I don't know much about those places.",I usually stick to what I know and prefer conversations about things I'm familiar with.
india,6,"Assume you are in the position of one of the strangers running late for an important meeting. As you chat in line, do you find yourself checking the time frequently and worry about finishing the conversation, or do you stay engaged, trusting it will all work out on time?",Conscientiousness,I frequently check the time and politely excuse myself to ensure I make the meeting on time.,I occasionally glance at the time and try to steer the conversation towards wrapping up.,I keep an eye on the time and balance between the conversation and being punctual.,I enjoy the conversation and only check the time if it feels too long.,"I stay fully engaged in the conversation, trusting that timing will sort itself out."
india,7,"Imagine you are one of the strangers in the market, amidst the lively conversation with the other person. Do you feel energized and even more talkative in this bustling environment, or do you find such social interactions draining, longing for personal space instead?",Extraversion,"I feel incredibly energized and love jumping into lively conversations, often becoming the most talkative person in the group.","I enjoy the energy of the crowd and engage actively, contributing to the conversation with enthusiasm.",I feel okay about engaging in the bustling conversation but balance speaking with listening.,"While I can engage in conversation, I prefer to observe more than participate and eventually seek some alone time.",I feel quite drained by such interactions and prefer to find a quiet spot away from the noise.
india,8,"Imagine as one of the strangers, you're discussing with the other about a common interest but have opposing views. How do you deal with the differing opinions—do you prioritize maintaining a cordial relationship over asserting your perspective strongly?",Agreeableness,"I actively listen and seek to understand their viewpoint deeply, valuing harmony over being right.",I express my perspective but make sure to acknowledge their points and keep the discussion friendly.,"I share my viewpoint and consider theirs, aiming to find a balanced understanding.","I explain my views and provide reasons, while still being open to some compromise.","I assert my perspective clearly, focusing more on convincing them rather than maintaining a cordial tone."
india,9,"Assume you are one of the strangers and during the conversation, you accidentally drop and spill a chai. Do you react with immediate anxiety and worry about the inconvenience caused, or do you brush it off and laugh with the other stranger at the mishap?",Neuroticism,"I immediately feel anxious and apologize profusely, worrying about the mess and the impression it has left.","I apologize and feel a bit embarrassed, but I keep worrying about it for a while afterward.","I apologize and feel slightly bad about the accident, but I try to quickly move on from the incident.","I lightly apologize but quickly make a joke to ease the situation, not letting it bother me much.","I brush it off with a laugh and assure the other stranger it's just a minor mishap, not worrying about it at all."
india,10,Imagine you are part of the conversation and someone mentions a new and unconventional holiday tradition that combines elements from different cultures. How would you react to this suggestion during the gathering?,Openness to Experience,I would be really excited about this idea and would love to know all the details and see how we can try it during the next holiday.,I think it sounds intriguing and I'm curious to learn more about how it blends different cultures together.,"It's an interesting concept, and I'm open to hearing more about it to understand how it might work.","I would listen politely, but I'm not sure if mixing traditions like that is something I would prefer during holidays.",I would probably express that I prefer to stick to more familiar and traditional holiday celebrations.
