country,scenario_text,scenario_id,question,trait
india,"On a crowded train, a group of friends squeeze together on a single bench meant for three, laughing and chatting loudly. They comfortably squish against each other, sharing food and stories.",0,"Imagine you are on the crowded train with the group of friends, and they invite you to join in their storytelling and laughter. How do you respond to their invitation?",Openness to Experience
india,"On a crowded train, a group of friends squeeze together on a single bench meant for three, laughing and chatting loudly. They comfortably squish against each other, sharing food and stories.",0,"Assume you have a seat reservation, but the group of friends is partially occupying your space. How do you handle the situation while ensuring everyone is comfortable?",Conscientiousness
india,"On a crowded train, a group of friends squeeze together on a single bench meant for three, laughing and chatting loudly. They comfortably squish against each other, sharing food and stories.",0,Imagine you are on the train and the friends ask you to share a fun travel story. How comfortable are you jumping into their conversation and sharing your own experiences?,Extraversion
india,"On a crowded train, a group of friends squeeze together on a single bench meant for three, laughing and chatting loudly. They comfortably squish against each other, sharing food and stories.",0,You're sitting beside the group of friends and they accidentally spill some food on you while sharing. How do you react to maintain harmony in the situation?,Agreeableness
india,"On a crowded train, a group of friends squeeze together on a single bench meant for three, laughing and chatting loudly. They comfortably squish against each other, sharing food and stories.",0,Assume the train is very crowded and the noise level from the group of friends is rising. How does this affect your mood and how do you cope with it during the journey?,Neuroticism
india,"In a bustling market, two strangers start chatting while waiting in a long line. They stand closely, occasionally tapping each other on the shoulder to emphasize their points, and leave the line feeling more connected.",1,"Imagine you are one of the strangers in the bustling Indian market. As the conversation unfolds, the other stranger starts talking about their experiences in various foreign countries. How do you respond to their stories, particularly in terms of your interest in learning more about diverse cultures?",Openness to Experience
india,"In a bustling market, two strangers start chatting while waiting in a long line. They stand closely, occasionally tapping each other on the shoulder to emphasize their points, and leave the line feeling more connected.",1,"Assume you are in the position of one of the strangers running late for an important meeting. As you chat in line, do you find yourself checking the time frequently and worry about finishing the conversation, or do you stay engaged, trusting it will all work out on time?",Conscientiousness
india,"In a bustling market, two strangers start chatting while waiting in a long line. They stand closely, occasionally tapping each other on the shoulder to emphasize their points, and leave the line feeling more connected.",1,"Imagine you are one of the strangers in the market, amidst the lively conversation with the other person. Do you feel energized and even more talkative in this bustling environment, or do you find such social interactions draining, longing for personal space instead?",Extraversion
india,"In a bustling market, two strangers start chatting while waiting in a long line. They stand closely, occasionally tapping each other on the shoulder to emphasize their points, and leave the line feeling more connected.",1,"Imagine as one of the strangers, you're discussing with the other about a common interest but have opposing views. How do you deal with the differing opinions—do you prioritize maintaining a cordial relationship over asserting your perspective strongly?",Agreeableness
india,"In a bustling market, two strangers start chatting while waiting in a long line. They stand closely, occasionally tapping each other on the shoulder to emphasize their points, and leave the line feeling more connected.",1,"Assume you are one of the strangers and during the conversation, you accidentally drop and spill a chai. Do you react with immediate anxiety and worry about the inconvenience caused, or do you brush it off and laugh with the other stranger at the mishap?",Neuroticism
india,"During a family gathering, several relatives sit shoulder to shoulder on the living room sofa, with children playing in the narrow space between their legs. They are immersed in a lively conversation, unfazed by their cramped sitting arrangement.",2,Imagine you are part of the conversation and someone mentions a new and unconventional holiday tradition that combines elements from different cultures. How would you react to this suggestion during the gathering?,Openness to Experience
india,"During a family gathering, several relatives sit shoulder to shoulder on the living room sofa, with children playing in the narrow space between their legs. They are immersed in a lively conversation, unfazed by their cramped sitting arrangement.",2,Assume you are responsible for organizing the family games during the gathering. You notice that the seating arrangement is making it difficult for the children to play safely. How would you approach resolving this during the event?,Conscientiousness
india,"During a family gathering, several relatives sit shoulder to shoulder on the living room sofa, with children playing in the narrow space between their legs. They are immersed in a lively conversation, unfazed by their cramped sitting arrangement.",2,"Imagine the lively conversation takes a more serious turn. How would you contribute to keep the energy positive and engaging, especially for the quieter family members?",Extraversion
india,"During a family gathering, several relatives sit shoulder to shoulder on the living room sofa, with children playing in the narrow space between their legs. They are immersed in a lively conversation, unfazed by their cramped sitting arrangement.",2,Assume one of your relatives makes a controversial comment that triggers a disagreement among others. How would you handle this situation to ensure the harmony of the gathering?,Agreeableness
india,"During a family gathering, several relatives sit shoulder to shoulder on the living room sofa, with children playing in the narrow space between their legs. They are immersed in a lively conversation, unfazed by their cramped sitting arrangement.",2,Visualize yourself sitting in the bustling and cramped space with all your relatives. How would you manage your emotions if things started to feel overwhelming during the gathering?,Neuroticism
india,"At a wedding, guests flock to the dance floor, forming dense, joyful circles, grabbing each other’s hands, and twirling around with enthusiasm. The close-knit dancing adds to the celebratory atmosphere.",3,"Imagine you are at the wedding and notice the dance floor filled with vibrant traditional Indian music and unfamiliar dance styles. Do you decide to embrace the new experience and join in, learning the moves, or do you prefer to stick to the familiar or observe from a distance?",Openness to Experience
india,"At a wedding, guests flock to the dance floor, forming dense, joyful circles, grabbing each other’s hands, and twirling around with enthusiasm. The close-knit dancing adds to the celebratory atmosphere.",3,"Assume you are in the position of organizing the guests into dancing groups, ensuring everyone feels included, and the dance floor remains joyous and orderly. How do you manage the coordination to keep everyone happily engaged and the celebration running smoothly?",Conscientiousness
india,"At a wedding, guests flock to the dance floor, forming dense, joyful circles, grabbing each other’s hands, and twirling around with enthusiasm. The close-knit dancing adds to the celebratory atmosphere.",3,"Imagine the dance floor is crowded with people, sounds, and energy flowing through the wedding venue. Do you dive into the lively center to dance with the crowd and thrive on the social energy, or do you prefer to engage in quieter interactions at the edges of the celebration?",Extraversion
india,"At a wedding, guests flock to the dance floor, forming dense, joyful circles, grabbing each other’s hands, and twirling around with enthusiasm. The close-knit dancing adds to the celebratory atmosphere.",3,"Picture yourself in a situation where some guests are hesitating to join the dance, seeming a bit shy. Do you warmly encourage them and extend a hand to bring them into the joyful circle, finding ways to make them feel comfortable in joining the festivities?",Agreeableness
india,"At a wedding, guests flock to the dance floor, forming dense, joyful circles, grabbing each other’s hands, and twirling around with enthusiasm. The close-knit dancing adds to the celebratory atmosphere.",3,"Imagine while you're on the dance floor, an unexpected change in music tempo or a small group collision occurs. How do you respond emotionally and mentally to these unforeseen events, maintaining your composure amid the high-energy and unpredictable environment?",Neuroticism
india,"In an office setting, coworkers gather around a single desk during a lunch break, sharing homemade dishes. They casually lean against each other while exchanging jokes and anecdotes, creating a warm camaraderie.",4,Imagine you are at the office lunch gathering and someone shares a traditional dish from a region you've never visited. How do you react to trying this unfamiliar cuisine?,Openness to Experience
india,"In an office setting, coworkers gather around a single desk during a lunch break, sharing homemade dishes. They casually lean against each other while exchanging jokes and anecdotes, creating a warm camaraderie.",4,Assume you are in the office and notice some colleagues left the area a bit messy after the lunch break. How would you handle the situation?,Conscientiousness
india,"In an office setting, coworkers gather around a single desk during a lunch break, sharing homemade dishes. They casually lean against each other while exchanging jokes and anecdotes, creating a warm camaraderie.",4,Imagine you are in the middle of sharing a funny story during the lunch gathering. How do you engage the group to ensure everyone feels involved?,Extraversion
india,"In an office setting, coworkers gather around a single desk during a lunch break, sharing homemade dishes. They casually lean against each other while exchanging jokes and anecdotes, creating a warm camaraderie.",4,Assume you are in the group where a friendly debate arises about a recent cricket match. How do you contribute to ensuring the conversation remains enjoyable for everyone?,Agreeableness
india,"In an office setting, coworkers gather around a single desk during a lunch break, sharing homemade dishes. They casually lean against each other while exchanging jokes and anecdotes, creating a warm camaraderie.",4,"Imagine you hear some colleagues laughing, and you’re unsure if it’s about you or just a joke. How do you handle your emotions in this situation?",Neuroticism
india,"On a public bus, passengers standing in the aisle hang tightly onto overhead rails while discussing the latest cricket match. As more people board, they adjust seamlessly, standing shoulder to shoulder with strangers without discomfort.",5,Imagine you are standing in the bus aisle during a lively debate about the latest cricket match. How do you respond when a fellow passenger shares an unfamiliar but intriguing perspective about a lesser-known player?,Openness to Experience
india,"On a public bus, passengers standing in the aisle hang tightly onto overhead rails while discussing the latest cricket match. As more people board, they adjust seamlessly, standing shoulder to shoulder with strangers without discomfort.",5,"Assume you are in the position of the bus conductor, ensuring everyone can board safely as more passengers enter. How do you organize the standing space to maintain order and ease of movement?",Conscientiousness
india,"On a public bus, passengers standing in the aisle hang tightly onto overhead rails while discussing the latest cricket match. As more people board, they adjust seamlessly, standing shoulder to shoulder with strangers without discomfort.",5,Imagine you are a passenger standing amidst a crowd deeply engaged in the cricket discussion. How do you participate in the conversation while maintaining a pleasant atmosphere with those around you?,Extraversion
