country,question_id,question,trait,high,moderately_high,medium,moderately_low,low
japan,0,"Imagine you are in the position of the young employee. While preparing the report, you find a creative way to visualize the data. How would you decide to present this idea to the director, considering the traditional office setting?",Openness to Experience,"I would enthusiastically prepare a detailed presentation, highlighting how this innovative approach aligns with our company's goals and seek an opportunity to discuss it directly with the director.","I would create a visual example and draft a concise summary, asking my supervisor for a chance to present it to the director during our next meeting.","I would prepare a brief mock-up and propose it to the team first, assessing their feedback before considering whether to bring it up with the director.",I would mention the idea in passing to my supervisor and gauge their interest before deciding if it's worth suggesting to the director.,"I would stick to the traditional format for the report, as introducing new ideas might not be well-received in our office environment."
japan,1,"Assume you are in the position of the young employee. Before the meeting with the director, how would you ensure that your report is not only thoroughly checked for errors but also perfectly formatted?",Conscientiousness,"I would triple-check every detail, cross-reference all data, and have colleagues review it to ensure absolute perfection.",I would carefully proofread it and ask a peer to review for any overlooked details before finalizing the format.,I would review it a couple of times and ensure that the format follows the usual standards.,I would quickly skim through for obvious errors and trust the basic formatting is sufficient.,"I’d glance at it briefly, assuming the initial draft was already good enough."
japan,2,"Imagine you are the young employee eager to make a strong impression. During the meeting with the director, how would you engage in conversation after presenting the report while respecting the formal office environment?",Extraversion,"I would enthusiastically initiate a discussion by asking for constructive feedback, and then share a few creative ideas I have for future projects.",I would confidently ask the director for their opinion on the report and gently introduce a couple of ideas I have been considering.,"I would express gratitude for the opportunity to present and ask a few questions about the report, staying open to hearing new insights.",I would thank the director for their time and ask if they have any comments or suggestions regarding the report.,"I would thank the director for the opportunity and quietly listen, making note of any remarks they might have."
japan,3,"Assume you are in the position of the young employee. If the director provides feedback that you find challenging, how would you handle the feedback while maintaining harmony and showing respect?",Agreeableness,"I would express gratitude for the feedback, assure the director of my understanding, and make necessary changes while seeking further advice to improve.","I would thank the director, reflect on the feedback, and politely ask questions to understand how I can implement the suggestions effectively.","I would acknowledge the feedback, discuss it with my director to clarify any doubts, and work on incorporating the changes where possible.","I would listen to the feedback, share my perspective calmly, and consider implementing the changes that align with my views.","I would hear the feedback, but only make changes I find relevant, while explaining my approach to the director."
japan,4,Imagine you are the young employee just before the meeting with the director. How do you manage feelings of anxiety or stress to remain composed as you present your report?,Neuroticism,"I can hardly control my nervousness, often feeling overwhelmed by anxiety even as I prepare, though I rely on deep breathing and visualization techniques to push through.","I feel quite tense and worried before the meeting, so I try to calm myself by reviewing my notes one last time and focusing on what I can control.","I experience moderate stress but manage by taking a few deep breaths, reminding myself of my preparation, and believing that I can handle any questions.","I feel a bit nervous, but I manage by reminding myself that everyone feels this way sometimes and trusting in my ability to present effectively.","I generally feel relaxed and confident before meetings, and I see them as opportunities to share my ideas rather than sources of stress."
japan,5,"Imagine you are at a Japanese family gathering where some guests introduce a fusion dish combining traditional Japanese flavors with international cuisine. How do you respond to trying the new dish, and what influences your reaction?",Openness to Experience,"I'm eager to try this new dish and explore the unique blend of flavors without hesitation, as I love discovering new culinary experiences.","I'm quite interested in trying the dish and appreciate the creativity involved, though I'll also enjoy familiar flavors if available.","I'm willing to try it to see how the flavors come together, but I also prefer to have some traditional dishes to rely on.","I might try it out of curiosity, but I feel more comfortable sticking to traditional dishes and tastes I know well.","I'd rather enjoy the traditional dishes I'm used to, as I'm not very inclined to experiment with unfamiliar food combinations."
japan,6,"Assume you are responsible for setting up a traditional Japanese family dinner. How do you ensure everything is prepared according to customs and traditions, and how do you double-check that nothing is missed?",Conscientiousness,"I create a detailed step-by-step checklist for each dish and decoration, consult older family members for their insights, and verify everything twice before the guests arrive.","I make a checklist of important tasks, refer to family notes on customs, and do a quick final review of all arrangements before dinner starts.","I follow a basic plan based on previous family gatherings and ensure the main components are in place, checking things as I go.",I set up as best as I can from memory and give things a general look-over to make sure the essentials have been covered.,I do my best to recall key aspects of the tradition and rely on others to mention anything I might have overlooked.
japan,7,"Imagine you find yourself in a lively conversation at a family gathering in Japan. How do you engage with family members during this social occasion, and how do you balance listening with sharing your own experiences?",Extraversion,"I enthusiastically participate by leading conversations, sharing my own experiences energetically, and encouraging others to join in by asking engaging questions.",I actively engage in the conversation by sharing interesting stories and asking others about theirs to keep the dialogue flowing.,I join in the conversation by sharing a few of my experiences and making sure to listen to what others have to say as well.,"I prefer to listen more than speak, occasionally sharing my thoughts when I feel my input would be appreciated.","I mostly listen quietly, nodding along and only speaking when directly asked a question or prompted to share."
japan,8,"Assume you are at a Japanese festival with family, and an elder asks for your help with carrying some festival items. How do you respond to their request, and what steps do you take to ensure their needs are met?",Agreeableness,"I gladly agree, carrying their items all the way to their destination, ensuring everything is perfectly arranged to their preference.","I accept and carry the items to their next destination, asking if there's anything else I can help with along the way.",I agree to carry the items to a nearby location they indicate and ensure they are settled there.,I offer to help by moving a few lighter items and suggest they might find assistance with the heavier ones.,"I politely excuse myself, mentioning that I might not be able to assist right now."
japan,9,"Imagine you are at a Japanese family dinner, and an unexpected topic of disagreement arises between relatives. How do you handle your emotions during this unexpected tension, and what strategies do you use to maintain composure?",Neuroticism,"I feel extremely anxious during the disagreement, and find it difficult to conceal my emotions, although I try to remain calm by focusing on my breathing.","I am quite uneasy with the tension and occasionally show signs of stress, but I manage to keep my composure by staying silent and observant.",I feel slightly uncomfortable but manage to stay even-tempered by redirecting the conversation when possible.,"I notice the tension but remain relatively calm, focusing on the meal and occasionally contributing to easing the mood.","I handle the situation with ease, staying calm and unaffected while encouraging a light-hearted conversation."
