country,norm_text,norm_id,scenario
japan,"Respect for elders and authority figures is deeply ingrained in Japanese culture, emphasizing the importance of hierarchy and tradition.",0,"In a bustling Tokyo office, a young employee greets the company director with a deep bow before presenting the report, understanding the significance of this gesture and maintaining eye contact to acknowledge their superior’s seniority."
japan,"Respect for elders and authority figures is deeply ingrained in Japanese culture, emphasizing the importance of hierarchy and tradition.",0,"During family gatherings, grandchildren patiently wait for their grandparents to start eating before commencing their own meal, ensuring that they follow the proper etiquette drilled into them from a young age."
japan,"Respect for elders and authority figures is deeply ingrained in Japanese culture, emphasizing the importance of hierarchy and tradition.",0,"In the classroom, students stand up and bow when the teacher enters, signifying a traditional acknowledgment and taking their seats only after the teacher gives permission."
japan,"Respect for elders and authority figures is deeply ingrained in Japanese culture, emphasizing the importance of hierarchy and tradition.",0,"During a tea ceremony, the apprentice meticulously serves tea to the master, focusing on the master’s needs and following every subtle instruction given with utmost care."
japan,"Respect for elders and authority figures is deeply ingrained in Japanese culture, emphasizing the importance of hierarchy and tradition.",0,"At a Shinto shrine festival, a young boy eagerly listens to the stories of the elders about the village's history and customs, understanding his role in conserving these tales."
japan,"Respect for elders and authority figures is deeply ingrained in Japanese culture, emphasizing the importance of hierarchy and tradition.",0,"When making significant decisions, a junior worker consults with the senior team leader to ensure alignment with company values and gathers valuable insights from their extensive experience."
japan,"Respect for elders and authority figures is deeply ingrained in Japanese culture, emphasizing the importance of hierarchy and tradition.",0,"In a traditional family business, the youngest generation sits silently and attentively in business meetings, absorbing knowledge and guidance from the family patriarch who has led the company for decades."
japan,"Respect for elders and authority figures is deeply ingrained in Japanese culture, emphasizing the importance of hierarchy and tradition.",0,"Before a student graduates, they present a gratitude letter to their sensei, showing appreciation for their guidance and expressing a commitment to applying the lessons learned."
japan,"Respect for elders and authority figures is deeply ingrained in Japanese culture, emphasizing the importance of hierarchy and tradition.",0,"While navigating a crowded train, a young commuter offers their seat to an elderly passenger without hesitation, recognizing the need to prioritize comfort for seniors in public spaces."
japan,"Respect for elders and authority figures is deeply ingrained in Japanese culture, emphasizing the importance of hierarchy and tradition.",0,"In a calligraphy class, students watch their master demonstrate techniques with careful attention, revering the skill and experience that is evident in every stroke made."
japan,"Japanese society highly values punctuality and time management, reflecting their commitment to efficiency and respect for others' time.",1,"A Japanese businessman arrives for a meeting ten minutes early, uses the time to review notes, and places his phone on silent to avoid distractions during the meeting."
japan,"Japanese society highly values punctuality and time management, reflecting their commitment to efficiency and respect for others' time.",1,"At a train station, passengers line up systematically in advance, and when the train arrives exactly on time, they board in an orderly fashion without causing delays."
japan,"Japanese society highly values punctuality and time management, reflecting their commitment to efficiency and respect for others' time.",1,"A student in Japan reaches school early, taking advantage of this time to study quietly in the library before classes commence, ensuring they're ready for the day."
japan,"Japanese society highly values punctuality and time management, reflecting their commitment to efficiency and respect for others' time.",1,"For a family event, guests arrive precisely at the stated start time, and the host ensures everything is ready to begin the moment the clock strikes."
japan,"Japanese society highly values punctuality and time management, reflecting their commitment to efficiency and respect for others' time.",1,"During a traditional tea ceremony, participants arrive early to observe the preparation process, integrating seamlessly into the ceremony's harmonious flow once it begins."
japan,"Japanese society highly values punctuality and time management, reflecting their commitment to efficiency and respect for others' time.",1,"In a corporate workshop, Japanese participants synchronize their arrival with the session's schedule, ensuring they're seated before the facilitator begins."
japan,"Japanese society highly values punctuality and time management, reflecting their commitment to efficiency and respect for others' time.",1,"When workers arrive at their office, they greet colleagues and start work promptly at the official start time, maintaining a smooth flow of operations throughout the day."
japan,"Japanese society highly values punctuality and time management, reflecting their commitment to efficiency and respect for others' time.",1,"At a dentist appointment, a patient checks in a few minutes early and takes a seat in the waiting area; the dentist calls them in exactly on schedule, without any waiting time."
