country,question_id,question,trait,high,moderately_high,medium,moderately_low,low
saudiarabia,0,"Imagine you are Ahmed, and one of your older relatives reminisces about their educational experiences that are vastly different from yours. How do you engage with their story and share your thoughts about how education has evolved?",Openness to Experience,"You listen intently, ask questions, and excitedly share various ways education has transformed globally, mentioning new methods and technologies.","You show genuine interest, discuss modern educational changes, and compare them to past experiences.","You listen and share a few thoughts on how education has changed over the years, focusing on some basic differences.","You listen politely, occasionally mentioning a couple of changes in today's educational approach.",You nod along and briefly acknowledge that some aspects of education have changed before changing the subject.
saudiarabia,1,"Assume you are in Ahmed's position, and you notice that a few of the gifts you received require specific care and attention to maintain. How do you plan to take care of these gifts while balancing your personal and professional responsibilities?",Conscientiousness,"I would create a detailed schedule to ensure I allocate specific time each week to care for the gifts, integrating it smoothly with my daily routines.","I plan to set a regular reminder to check on and maintain the gifts, making adjustments when urgently needed.",I will try to take care of the gifts during the weekends or whenever I find some spare time.,"I hope to look after the gifts whenever I remember, though my focus will remain on more pressing duties.",I'll see if anyone else can help care for the gifts since I need to prioritize my main responsibilities.
saudiarabia,2,Imagine you are Ahmed at the celebration. You have the chance to either center yourself in the bustling group conversation or spend time with a few close relatives. How do you choose to interact during this gathering?,Extraversion,"I eagerly join the large group conversation, making sure to engage and entertain everyone around me.","I participate in the group conversation, sharing stories and engaging with as many people as possible.","I move between the large group and smaller ones, enjoying the lively atmosphere while also connecting with my relatives.","I mostly stay with my close relatives, occasionally joining larger conversations if the mood strikes me.","I prefer to stay with my close relatives, enjoying deep conversations with them away from the large group."
saudiarabia,3,"Assume you are Ahmed, and during the celebration, a relative mistakenly attributes your academic success to a different field. How do you respond to their mistake while maintaining a joyful and harmonious atmosphere?",Agreeableness,"Laugh it off and warmly thank them, gently correcting them while appreciating their interest in your achievements.","Smile and thank them for their kind words, then kindly clarify your actual field of study with enthusiasm.",Politely inform them of the correct field and thank them for their good wishes.,Correct them with a smile but without delving further into details.,Briefly correct the mistake and then steer the conversation to another topic.
saudiarabia,4,"Imagine you are Ahmed, and amid the celebrations, you begin to feel overwhelmed by the noise and attention. How do you handle your emotions to ensure you enjoy this special occasion without feeling stressed?",Neuroticism,I find a quiet corner to gather my thoughts and practice deep breathing to calm my nerves.,I step outside for a few minutes to clear my head before rejoining the festivities.,I try to focus on the positive aspects of the celebration and remind myself it's a happy occasion.,I engage in light conversation with someone to distract myself from feeling overwhelmed.,I barely notice the discomfort and continue enjoying the celebration with everyone else.
saudiarabia,5,Imagine you are Fatima and your aunts and cousins suggest introducing some new and unconventional baby care techniques that they've recently read about. How do you respond to their suggestions?,Openness to Experience,I am excited to hear more about these new techniques and can’t wait to try them out with my baby!,These sounds quite interesting; I’d love to discuss and learn more before considering trying them.,"I’m open to hearing about these techniques, though I might need some time to think them over.",I am a bit cautious with new methods; maybe we can try them if there’s some strong evidence supporting them.,I prefer sticking with traditional approaches that I'm comfortable with and know have worked well before.
saudiarabia,6,Assume you are in the position of organizing and scheduling the visits from family to manage the flow of help and ensure everything runs smoothly. How do you plan and prioritize these tasks to ensure Fatima receives consistent support?,Conscientiousness,"I will create a detailed schedule with specific roles and times for each family member, and regularly review it to accommodate any changes or feedback.","I will set a flexible schedule for visits, ensuring everyone has a clear idea of their responsibilities, and adjust if necessary.",I will draft a general plan with suggestions and encourage family members to decide on suitable times among themselves.,"I will suggest a few times and let family members coordinate their own visits, stepping in only if issues arise.",I will inform the family of the situation and leave it to individuals to arrange their visitations.
saudiarabia,7,"Suppose you are Fatima, and your home is filled with relatives who are vibrant and sociable. How do you engage with them during this period, balancing your need for rest with their support?",Extraversion,"I immerse myself in the activities, leading conversations and organizing games to keep everyone entertained.",I actively participate in discussions and help with hosting duties but take short breaks when needed.,I enjoy chatting with them in small groups and join in on some activities while taking time to recharge alone.,I mostly observe and occasionally join a conversation or activity when it feels right.,"I spend most of the time resting in a quiet space, engaging with my relatives only when necessary."
saudiarabia,8,"Imagine you are Fatima, and a relative offers advice that you feel unsure about. How do you approach this situation while maintaining harmony within the family?",Agreeableness,Thank the relative sincerely for their advice and assure them you will take it into careful consideration while keeping an open mind.,Express gratitude for their advice and mention that you will think about it and see how it aligns with your own plans.,Acknowledge their advice politely and let them know you will take some time to reflect on it.,"Listen to their advice and thank them, but gently mention that you have other perspectives to consider.","Thank them briefly and indicate that you have already made up your mind, without dismissing their suggestion outright."
saudiarabia,9,"Assume that as Fatima, you are feeling overwhelmed by the various changes and constant visits. How do you handle your emotional response to maintain your well-being during this time?",Neuroticism,"I struggle to manage my feelings and often feel anxious or upset, needing reassurance frequently.",I find myself worrying often and take some time to myself but still feel uneasy.,"I acknowledge the stress but focus on practical steps to manage it, like taking brief breaks when needed.","While I occasionally feel stressed, I generally keep calm and use simple techniques like deep breathing to stay centered.",I rarely let things overwhelm me and usually maintain a calm and steady demeanor.
