country,scenario_text,scenario_id,question,trait
saudiarabia,"Ahmed graduated from university, and his entire extended family gathered at his family home to celebrate his achievement, bringing gifts and sharing stories about his educational journey.",0,"Imagine you are Ahmed, and one of your older relatives reminisces about their educational experiences that are vastly different from yours. How do you engage with their story and share your thoughts about how education has evolved?",Openness to Experience
saudiarabia,"Ahmed graduated from university, and his entire extended family gathered at his family home to celebrate his achievement, bringing gifts and sharing stories about his educational journey.",0,"Assume you are in Ahmed's position, and you notice that a few of the gifts you received require specific care and attention to maintain. How do you plan to take care of these gifts while balancing your personal and professional responsibilities?",Conscientiousness
saudiarabia,"Ahmed graduated from university, and his entire extended family gathered at his family home to celebrate his achievement, bringing gifts and sharing stories about his educational journey.",0,Imagine you are Ahmed at the celebration. You have the chance to either center yourself in the bustling group conversation or spend time with a few close relatives. How do you choose to interact during this gathering?,Extraversion
saudiarabia,"Ahmed graduated from university, and his entire extended family gathered at his family home to celebrate his achievement, bringing gifts and sharing stories about his educational journey.",0,"Assume you are Ahmed, and during the celebration, a relative mistakenly attributes your academic success to a different field. How do you respond to their mistake while maintaining a joyful and harmonious atmosphere?",Agreeableness
saudiarabia,"Ahmed graduated from university, and his entire extended family gathered at his family home to celebrate his achievement, bringing gifts and sharing stories about his educational journey.",0,"Imagine you are Ahmed, and amid the celebrations, you begin to feel overwhelmed by the noise and attention. How do you handle your emotions to ensure you enjoy this special occasion without feeling stressed?",Neuroticism
saudiarabia,"When Fatima gave birth to her first child, her aunts and cousins immediately took turns visiting her, each offering their support, cooking meals, and caring for her household to ensure she had time to rest.",1,Imagine you are Fatima and your aunts and cousins suggest introducing some new and unconventional baby care techniques that they've recently read about. How do you respond to their suggestions?,Openness to Experience
saudiarabia,"When Fatima gave birth to her first child, her aunts and cousins immediately took turns visiting her, each offering their support, cooking meals, and caring for her household to ensure she had time to rest.",1,Assume you are in the position of organizing and scheduling the visits from family to manage the flow of help and ensure everything runs smoothly. How do you plan and prioritize these tasks to ensure Fatima receives consistent support?,Conscientiousness
saudiarabia,"When Fatima gave birth to her first child, her aunts and cousins immediately took turns visiting her, each offering their support, cooking meals, and caring for her household to ensure she had time to rest.",1,"Suppose you are Fatima, and your home is filled with relatives who are vibrant and sociable. How do you engage with them during this period, balancing your need for rest with their support?",Extraversion
saudiarabia,"When Fatima gave birth to her first child, her aunts and cousins immediately took turns visiting her, each offering their support, cooking meals, and caring for her household to ensure she had time to rest.",1,"Imagine you are Fatima, and a relative offers advice that you feel unsure about. How do you approach this situation while maintaining harmony within the family?",Agreeableness
saudiarabia,"When Fatima gave birth to her first child, her aunts and cousins immediately took turns visiting her, each offering their support, cooking meals, and caring for her household to ensure she had time to rest.",1,"Assume that as Fatima, you are feeling overwhelmed by the various changes and constant visits. How do you handle your emotional response to maintain your well-being during this time?",Neuroticism
saudiarabia,"During Ramadan, Mohammed's family invites not just his grandparents but also uncles, aunts, and cousins to break their fast together each evening, filling their home with the sounds of laughter and shared traditions.",2,Imagine you are in Mohammed's position and your family suggests incorporating a new cultural dish into your traditional Ramadan meal. How do you feel about this unexpected change in tradition?,Openness to Experience
saudiarabia,"During Ramadan, Mohammed's family invites not just his grandparents but also uncles, aunts, and cousins to break their fast together each evening, filling their home with the sounds of laughter and shared traditions.",2,Assume you are responsible for organizing the evening gathering at Mohammed's house. How would you plan to ensure everything runs smoothly and everyone feels included?,Conscientiousness
saudiarabia,"During Ramadan, Mohammed's family invites not just his grandparents but also uncles, aunts, and cousins to break their fast together each evening, filling their home with the sounds of laughter and shared traditions.",2,"Imagine you are attending the Ramadan gathering at Mohammed's house, filled with relatives you haven't seen in a while. How do you engage and interact with everyone at the gathering?",Extraversion
saudiarabia,"During Ramadan, Mohammed's family invites not just his grandparents but also uncles, aunts, and cousins to break their fast together each evening, filling their home with the sounds of laughter and shared traditions.",2,Assume you overhear a disagreement between two of Mohammed's relatives about how to best spend the Ramadan evenings. How would you approach resolving this situation to maintain harmony during the gathering?,Agreeableness
saudiarabia,"During Ramadan, Mohammed's family invites not just his grandparents but also uncles, aunts, and cousins to break their fast together each evening, filling their home with the sounds of laughter and shared traditions.",2,Imagine you are at Mohammed's family gathering when you accidentally spill a drink on one of the guests. How do you handle the situation and manage your emotions afterwards?,Neuroticism
saudiarabia,"After losing his job, Saleh found encouragement and practical help from his relatives, who introduced him to new opportunities through their extensive networks and offered financial support while he got back on his feet.",3,"Imagine you are in Saleh's position, having lost your job. How would you feel about exploring job opportunities in a completely new industry that you have never considered before, even if it means stepping out of your comfort zone?",Openness to Experience
