country,norm_text,norm_id,scenario
saudiarabia,"Saudi society places great importance on family as the fundamental social unit, with extended families providing support and having a strong influence on individual identities.",0,"Ahmed graduated from university, and his entire extended family gathered at his family home to celebrate his achievement, bringing gifts and sharing stories about his educational journey."
saudiarabia,"Saudi society places great importance on family as the fundamental social unit, with extended families providing support and having a strong influence on individual identities.",0,"When Fatima gave birth to her first child, her aunts and cousins immediately took turns visiting her, each offering their support, cooking meals, and caring for her household to ensure she had time to rest."
saudiarabia,"Saudi society places great importance on family as the fundamental social unit, with extended families providing support and having a strong influence on individual identities.",0,"During Ramadan, Mohammed's family invites not just his grandparents but also uncles, aunts, and cousins to break their fast together each evening, filling their home with the sounds of laughter and shared traditions."
saudiarabia,"Saudi society places great importance on family as the fundamental social unit, with extended families providing support and having a strong influence on individual identities.",0,"After losing his job, Saleh found encouragement and practical help from his relatives, who introduced him to new opportunities through their extensive networks and offered financial support while he got back on his feet."
saudiarabia,"Saudi society places great importance on family as the fundamental social unit, with extended families providing support and having a strong influence on individual identities.",0,"On EID, Sarah's family home becomes the focal point as relatives from different cities join together for a feast, exchanging gifts and sharing memories as they catch up on each other's lives."
saudiarabia,"Saudi society places great importance on family as the fundamental social unit, with extended families providing support and having a strong influence on individual identities.",0,"When Layla was deciding on her career path, she sought guidance from her father and uncles, who provided insights from their experiences and helped her connect with professionals in her field of interest."
saudiarabia,"Saudi society places great importance on family as the fundamental social unit, with extended families providing support and having a strong influence on individual identities.",0,"Omar invited all his relatives, including distant cousins, to his wedding, with family members actively participating in the festivities' planning and ensuring that every tradition was honored and celebrated."
saudiarabia,"Saudi society places great importance on family as the fundamental social unit, with extended families providing support and having a strong influence on individual identities.",0,"Upon returning from studying abroad, Amina was welcomed with open arms by her relatives, who organized a large gathering to hear about her experiences and share in the joy of her accomplishments."
saudiarabia,"Saudi society places great importance on family as the fundamental social unit, with extended families providing support and having a strong influence on individual identities.",0,"Yousef decided to buy a new home, and his family came together to offer advice, provide financial assistance, and help him with the logistics of moving, ensuring he settled comfortably into his new space."
saudiarabia,"Saudi society places great importance on family as the fundamental social unit, with extended families providing support and having a strong influence on individual identities.",0,"Hanan fell ill, and within hours, her extended family members arrived with homemade remedies, prayers, and offers to assist her husband with household duties, illustrating their devotion to her well-being."
saudiarabia,"Islamic values and teachings permeate all aspects of life, guiding social, legal, and moral guidelines within Saudi society.",1,"During Ramadan, businesses adjust their working hours to accommodate fasting Muslims, closing during the hottest parts of the day and reopening after sunset when the fast is broken."
saudiarabia,"Islamic values and teachings permeate all aspects of life, guiding social, legal, and moral guidelines within Saudi society.",1,"In Saudi Arabia, it is common for male and female students to attend separate schooling facilities, maintaining gender segregation in educational environments."
saudiarabia,"Islamic values and teachings permeate all aspects of life, guiding social, legal, and moral guidelines within Saudi society.",1,"Public gatherings, such as family events, weddings, and festivals, separate men and women into different areas to conform with cultural expectations of gender interaction."
