country,question_id,question,trait,high,moderately_high,medium,moderately_low,low
southafrica,0,"Imagine you are at the family gathering where the elders are sharing stories about the origin of each dish and their historical significance. How do you react to these stories, and do you feel inspired to ask more about the cultural traditions linked to the meal?",Openness to Experience,I am fascinated by the stories and eagerly ask many questions to learn more about the cultural traditions and historical roots of each dish.,I listen attentively to the stories and ask a couple of questions to understand the cultural significance a bit better.,I enjoy listening to the stories and ask a question or two if something particularly piques my interest.,I listen to the stories with mild interest but don't feel compelled to ask more questions about the traditions.,"I pay little attention to the stories as they don't particularly interest me, and I'm not inclined to ask any questions."
southafrica,1,Assume you are in the position of being responsible for ensuring everyone has enough to eat and that the dishes are cleaned up afterward. How do you plan and execute this responsibility to ensure the gathering goes smoothly?,Conscientiousness,"I will create a detailed plan, including a menu accommodating dietary needs, organize a serving schedule, and draft a roster for cleaning, ensuring everything runs seamlessly.","I'll prepare a meal plan, make sure dietary requirements are considered, and delegate cleaning tasks to ensure a smooth gathering.",I plan a meal with some consideration for dietary needs and ensure a basic cleanup process is in place.,"I will make a simple meal and handle dishes as needed, not worrying too much about a detailed plan.","I'll remind everyone to bring their own food and clean up after themselves, keeping my involvement minimal."
southafrica,2,Imagine you are at this lively family gathering filled with relatives you haven't seen in a while. How do you engage with the group and participate in making the event enjoyable and memorable for everyone?,Extraversion,"I take charge of organizing interactive games, introduce activities that everyone can join, and make sure to chat with every family member.",I make a point to catch up with as many relatives as possible and suggest a few fun activities for everyone to enjoy.,I enjoy reconnecting with a few relatives I am close to and participate in group activities when invited.,"I prefer to stay in smaller groups, talking to only a couple of relatives I know well, and join activities mainly as an observer.",I find a quiet corner to sit in and only engage with family members who approach me first.
southafrica,3,Assume that some family members have brought dishes that are not to your taste. How do you handle this situation in a way that maintains harmony and continues to foster warmth and connection among the attendees?,Agreeableness,"I thank them warmly and ask for the recipe, eager to learn about their culinary traditions.","I show appreciation and try a small portion, complimenting the effort they put into it.",I politely try a small bit and discuss the dish neutrally with them.,I acknowledge their effort but subtly avoid the dish without making any comments.,I quietly avoid the dish and focus on enjoying the other meals without mentioning it.
southafrica,4,"Imagine you're at the gathering, but you feel anxious about everyone getting along and the event going as planned. How do you manage these feelings and ensure you still enjoy the moment with your family?",Neuroticism,"I struggle to relax, frequently checking on everyone and planning every detail to ensure things go perfectly.","I feel a bit anxious, so I keep an eye on the main things, like food and activities, to ensure they run smoothly.","I try to stay calm, addressing any issues as they arise while reminding myself to enjoy the occasion.",I focus on enjoying the company and generally feel confident things will turn out alright with minimal intervention.,I trust everything will be fine and focus on having a good time without worrying too much about the details.
southafrica,5,Imagine you are a part of this supportive community in South Africa discovering the diverse personal and cultural backgrounds of your neighbors. How would you approach learning new recipes or cultural traditions to make your contribution unique?,Openness to Experience,"I would eagerly attend every cultural festival, actively participate in cooking classes, and experiment with unique fusions to create exciting new dishes.",I would visit my neighbors to learn traditional recipes and try to blend a few elements to create something special.,"I would learn popular recipes and traditions from my community, occasionally trying to add a personal touch.",I would stick to learning a few simple recipes and observe some traditions without making major changes.,I would prefer to continue with the recipes and customs I already know and am comfortable with.
southafrica,6,Assume you are in the position of organizing the meal and errand schedule for the ill neighbor. How would you ensure that everything runs smoothly and tasks are completed efficiently by all participants?,Conscientiousness,"I would create a detailed schedule with responsibilities clearly outlined, hold regular check-ins, and send reminders to ensure everyone stays on track.","I would set up a weekly meeting to discuss tasks, assign responsibilities, and provide updates to keep everyone informed.",I would make sure everyone knows their tasks and send occasional reminders to follow up on progress.,I would suggest a loose schedule and trust everyone to manage their tasks without much oversight.,I would give a general idea of tasks that need to be done and let everyone handle it as they see fit without further checks.
southafrica,7,Imagine yourself attending the first meeting where the neighbors gather to discuss the assistance plan. How do you engage and interact with others during this gathering?,Extraversion,"I eagerly introduce myself to everyone, lead the discussion, and suggest organizing a community social event.","I participate actively, sharing my ideas with enthusiasm and chatting with several neighbors during the break.",I engage in the conversation when asked for input and listen attentively to others' contributions.,I interact with a few people when approached but prefer listening to the discussions quietly.,"I keep to myself, sit in a corner, and avoid engaging unless it's absolutely necessary."
southafrica,8,Assume you are approaching a neighbor who has been hesitant to participate in this collective support. How would you encourage them to join the effort and emphasize the importance of community solidarity?,Agreeableness,"I would listen to their concerns, empathize with them, and explain all the benefits for the community while offering my personal support.","I would highlight the positive changes we've seen in the community and suggest small ways they could contribute, assuring them of our support.","I would explain the project and how their involvement would help, while also mentioning that it's okay if they have reservations.","I would provide some information about the community project and invite them to join if they're interested, without pressing too hard.",I would briefly mention the initiative and leave it up to them to decide if they want to learn more or get involved.
southafrica,9,Imagine you are feeling a bit stressed about the added responsibility of helping the neighbor. How do you manage any anxieties or worries you might have about your role in this initiative?,Neuroticism,"I find it overwhelming and frequently feel panicked, needing constant reassurance from others.","I feel quite anxious and often think about all the possible things that could go wrong, seeking advice to feel better.",I recognize some stress but try to focus on what I can control while letting go of the rest.,I acknowledge it's a responsibility but try not to overthink it and take it step by step.,"I handle the task calmly, focusing on solutions without letting it stress me too much."
southafrica,10,Imagine you are part of the group offering support to a coworker facing financial difficulties and someone proposes a unique or unconventional way to raise additional funds. How do you respond to this idea?,Openness to Experience,That's an intriguing idea! Let's explore how we can implement it and maybe even brainstorm more innovative solutions.,That's worth considering. I'll think it over and see how it might fit into our plans.,It's an interesting concept; perhaps we can discuss its feasibility with the group.,"I see where you're coming from, but I'd prefer sticking to more conventional methods.",I think sticking to traditional fundraising methods is the best approach.
southafrica,11,Assume you are responsible for organizing the group’s efforts in supporting your colleague. How do you ensure that the assistance provided is systematic and reaches the coworker effectively?,Conscientiousness,"I create a detailed plan with specific roles for each team member, set clear deadlines, and hold regular check-in meetings to monitor progress.","I outline the tasks needed, assign responsibilities, and follow up periodically to ensure everything is on track.",I organize a team meeting to discuss everyone's roles and touch base a few times to keep things moving.,I suggest we divide the work in a group chat and occasionally check back to see how things are going.,I assume everyone knows what to do and only step in if it seems like things aren't progressing.
southafrica,12,Imagine you're at a meeting where the team discusses plans to support your coworker. How do you engage with the group and contribute to building a positive and energetic atmosphere?,Extraversion,"I take on a leadership role, actively sharing my ideas and encouraging everyone to contribute while maintaining high energy throughout the meeting.","I share my thoughts enthusiastically and make sure to involve quieter team members, helping to maintain a lively discussion.","I participate when I have something to add, and occasionally offer supportive comments to keep the mood positive.","I listen attentively and contribute sporadically, mostly when directly asked for my input.",I prefer to observe and occasionally nod to show support while letting others drive the conversation.
southafrica,13,"Assume you learn privately that another coworker feels uncomfortable with the group’s approach to helping, fearing it may become gossip. How do you address this concern while maintaining group harmony?",Agreeableness,"I would immediately bring this concern to the group in a calm manner, ensuring we all discuss and find a collaborative way to respect everyone’s comfort levels.",I would talk to one or two team members privately to explore how we can address the concern without making it a big issue.,I would acknowledge the concern and suggest we keep discussions focused on solutions rather than personal details.,I might quietly keep an eye on the discussions to ensure they remain respectful but avoid bringing it up directly.,"I would not address the concern with the group, assuming it will resolve on its own."
southafrica,14,"Imagine you are part of this workplace group, and you start worrying about whether your contributions are truly making a difference or if they might unintentionally cause harm or dependence. How do you manage and process these feelings of anxiety to continue supporting your coworker effectively?",Neuroticism,I constantly seek reassurance from my coworkers and often find myself overthinking every detail to ensure I'm doing things correctly.,"I occasionally worry about my impact and seek feedback to alleviate my concerns, but I can still focus on supporting my team.",I recognize my concerns but address them by focusing on constructive feedback and understanding my role in the group's success.,I rarely worry about my contributions because I trust that my support is appreciated and make an effort to stay positive.,I am confident that my contributions are valuable and rarely feel anxious about my impact on the group.
southafrica,15,Imagine you are in charge of choosing decorations for the newly renovated community center. Would you experiment with incorporating traditional South African art styles or stick to a more conventional design?,Openness to Experience,I would enthusiastically embrace traditional South African art styles to make the center vibrant and culturally rich.,I would incorporate several elements of South African art styles to add a unique cultural touch.,I would consider a mix of both traditional art styles and conventional designs for balance.,I would lean more towards conventional designs but include a few subtle traditional elements.,I believe sticking to a conventional design would be the best choice for a community center.
southafrica,16,Assume you are responsible for organizing a volunteer list for the renovation workdays. How would you ensure that everyone arrives on time and that the tasks are completed efficiently?,Conscientiousness,"I would create a detailed schedule with clear roles, send reminders before the event, and hold regular check-ins to ensure everything is on track.","I would set up a timetable, assign tasks to each volunteer, and send out reminders the day before.",I would distribute the volunteer list and schedule to everyone and hope they follow it.,I would inform everyone of the start time and assume they'll arrive and take care of their tasks.,I'd let everyone know about the workdays and leave the rest to them.
southafrica,17,"Imagine you are at the first social gathering in the renovated community center. How actively would you engage with attendees of different ages and backgrounds, and what role would you take in facilitating or participating in conversations?",Extraversion,"I would enthusiastically engage with everyone, making sure to introduce myself to as many people as possible while also leading group activities to encourage interaction.","I would actively participate, starting conversations with people from different backgrounds and helping to keep discussions lively and inclusive.","I would engage in some conversations, focusing on a few people that seem interesting, and contribute when I feel comfortable.",I would mostly listen to others and join conversations only when directly invited or when I have something specific to say.,"I would keep to myself, observing the interactions from a distance and participating only if someone approaches me directly."
southafrica,18,Assume you are discussing renovation ideas during a meeting with residents who have differing opinions. How would you approach finding a solution that satisfies everyone and fosters a sense of unity?,Agreeableness,"I would encourage an open dialogue where everyone's perspectives are valued, working tirelessly to create a compromise that addresses each person's concerns.","I would facilitate a group discussion, ensuring everyone feels heard and proposing solutions that take most viewpoints into account.","I would listen to each opinion, considering a balanced approach that acknowledges the most popular and feasible ideas.","I would focus on the most practical suggestions, trying to accommodate everyone but prioritizing the most efficient decision.","I would propose a solution based on the majority's opinion, considering only the ideas that seem most practical."
southafrica,19,Imagine you are feeling stressed about the looming deadline for the renovation's completion. How would you manage your emotions and ensure that your stress does not affect your interactions with other volunteers?,Neuroticism,"I would fixate on the worst-case scenarios and feel overwhelmed, which might lead to snapping at others, even though I try not to.","I would occasionally feel anxious and worry a lot, which might come out in my tone during conversations, trying to stay polite.",I would feel concerned but try to express my stress through discussion without letting it dominate my interactions.,"I would experience some stress but largely keep it to myself, speaking calmly most of the time and only occasionally feeling tense.","I would acknowledge the pressure but stay mostly relaxed and interact with others calmly, without letting stress interfere."
