country,scenario_text,scenario_id,question,trait
southafrica,"During a family gathering, everyone brings dishes to share, ensuring that there's enough food for all attendees, and no one leaves hungry. The elders take a moment to teach the younger family members the significance of sharing and communal meals. The meal becomes a bonding experience that reinforces family ties and traditions.",0,"Imagine you are at the family gathering where the elders are sharing stories about the origin of each dish and their historical significance. How do you react to these stories, and do you feel inspired to ask more about the cultural traditions linked to the meal?",Openness to Experience
southafrica,"During a family gathering, everyone brings dishes to share, ensuring that there's enough food for all attendees, and no one leaves hungry. The elders take a moment to teach the younger family members the significance of sharing and communal meals. The meal becomes a bonding experience that reinforces family ties and traditions.",0,Assume you are in the position of being responsible for ensuring everyone has enough to eat and that the dishes are cleaned up afterward. How do you plan and execute this responsibility to ensure the gathering goes smoothly?,Conscientiousness
southafrica,"During a family gathering, everyone brings dishes to share, ensuring that there's enough food for all attendees, and no one leaves hungry. The elders take a moment to teach the younger family members the significance of sharing and communal meals. The meal becomes a bonding experience that reinforces family ties and traditions.",0,Imagine you are at this lively family gathering filled with relatives you haven't seen in a while. How do you engage with the group and participate in making the event enjoyable and memorable for everyone?,Extraversion
southafrica,"During a family gathering, everyone brings dishes to share, ensuring that there's enough food for all attendees, and no one leaves hungry. The elders take a moment to teach the younger family members the significance of sharing and communal meals. The meal becomes a bonding experience that reinforces family ties and traditions.",0,Assume that some family members have brought dishes that are not to your taste. How do you handle this situation in a way that maintains harmony and continues to foster warmth and connection among the attendees?,Agreeableness
southafrica,"During a family gathering, everyone brings dishes to share, ensuring that there's enough food for all attendees, and no one leaves hungry. The elders take a moment to teach the younger family members the significance of sharing and communal meals. The meal becomes a bonding experience that reinforces family ties and traditions.",0,"Imagine you're at the gathering, but you feel anxious about everyone getting along and the event going as planned. How do you manage these feelings and ensure you still enjoy the moment with your family?",Neuroticism
southafrica,"When a member of the local community falls ill, neighbors organize a schedule to prepare meals and run errands for them and their family. This collective effort ensures the ill individual and their family are supported through the challenging period. The neighbors believe in taking care of each other as an extended family.",1,Imagine you are a part of this supportive community in South Africa discovering the diverse personal and cultural backgrounds of your neighbors. How would you approach learning new recipes or cultural traditions to make your contribution unique?,Openness to Experience
southafrica,"When a member of the local community falls ill, neighbors organize a schedule to prepare meals and run errands for them and their family. This collective effort ensures the ill individual and their family are supported through the challenging period. The neighbors believe in taking care of each other as an extended family.",1,Assume you are in the position of organizing the meal and errand schedule for the ill neighbor. How would you ensure that everything runs smoothly and tasks are completed efficiently by all participants?,Conscientiousness
southafrica,"When a member of the local community falls ill, neighbors organize a schedule to prepare meals and run errands for them and their family. This collective effort ensures the ill individual and their family are supported through the challenging period. The neighbors believe in taking care of each other as an extended family.",1,Imagine yourself attending the first meeting where the neighbors gather to discuss the assistance plan. How do you engage and interact with others during this gathering?,Extraversion
southafrica,"When a member of the local community falls ill, neighbors organize a schedule to prepare meals and run errands for them and their family. This collective effort ensures the ill individual and their family are supported through the challenging period. The neighbors believe in taking care of each other as an extended family.",1,Assume you are approaching a neighbor who has been hesitant to participate in this collective support. How would you encourage them to join the effort and emphasize the importance of community solidarity?,Agreeableness
southafrica,"When a member of the local community falls ill, neighbors organize a schedule to prepare meals and run errands for them and their family. This collective effort ensures the ill individual and their family are supported through the challenging period. The neighbors believe in taking care of each other as an extended family.",1,Imagine you are feeling a bit stressed about the added responsibility of helping the neighbor. How do you manage any anxieties or worries you might have about your role in this initiative?,Neuroticism
southafrica,"A group of colleagues at a workplace regularly pools their resources to support a coworker facing financial difficulties. They come together to offer assistance, showing solidarity and empathy. This collective support helps the coworker get back on their feet without feeling isolated.",2,Imagine you are part of the group offering support to a coworker facing financial difficulties and someone proposes a unique or unconventional way to raise additional funds. How do you respond to this idea?,Openness to Experience
southafrica,"A group of colleagues at a workplace regularly pools their resources to support a coworker facing financial difficulties. They come together to offer assistance, showing solidarity and empathy. This collective support helps the coworker get back on their feet without feeling isolated.",2,Assume you are responsible for organizing the group’s efforts in supporting your colleague. How do you ensure that the assistance provided is systematic and reaches the coworker effectively?,Conscientiousness
southafrica,"A group of colleagues at a workplace regularly pools their resources to support a coworker facing financial difficulties. They come together to offer assistance, showing solidarity and empathy. This collective support helps the coworker get back on their feet without feeling isolated.",2,Imagine you're at a meeting where the team discusses plans to support your coworker. How do you engage with the group and contribute to building a positive and energetic atmosphere?,Extraversion
southafrica,"A group of colleagues at a workplace regularly pools their resources to support a coworker facing financial difficulties. They come together to offer assistance, showing solidarity and empathy. This collective support helps the coworker get back on their feet without feeling isolated.",2,"Assume you learn privately that another coworker feels uncomfortable with the group’s approach to helping, fearing it may become gossip. How do you address this concern while maintaining group harmony?",Agreeableness
southafrica,"A group of colleagues at a workplace regularly pools their resources to support a coworker facing financial difficulties. They come together to offer assistance, showing solidarity and empathy. This collective support helps the coworker get back on their feet without feeling isolated.",2,"[Question(trait='Neuroticism', question='Imagine you are part of this workplace group, and you start worrying about whether your contributions are truly making a difference or if they might unintentionally cause harm or dependence. How do you manage and process these feelings of anxiety to continue supporting your coworker effectively?')]",Neuroticism
southafrica,"A village decides to renovate the community center, and residents of all ages volunteer their time and skills to refurbish it. They organize communal workdays where everyone participates, creating a sense of accomplishment and unity. The revamped center becomes a hub for social gatherings and cultural events.",3,Imagine you are in charge of choosing decorations for the newly renovated community center. Would you experiment with incorporating traditional South African art styles or stick to a more conventional design?,Openness to Experience
southafrica,"A village decides to renovate the community center, and residents of all ages volunteer their time and skills to refurbish it. They organize communal workdays where everyone participates, creating a sense of accomplishment and unity. The revamped center becomes a hub for social gatherings and cultural events.",3,Assume you are responsible for organizing a volunteer list for the renovation workdays. How would you ensure that everyone arrives on time and that the tasks are completed efficiently?,Conscientiousness
southafrica,"A village decides to renovate the community center, and residents of all ages volunteer their time and skills to refurbish it. They organize communal workdays where everyone participates, creating a sense of accomplishment and unity. The revamped center becomes a hub for social gatherings and cultural events.",3,"Imagine you are at the first social gathering in the renovated community center. How actively would you engage with attendees of different ages and backgrounds, and what role would you take in facilitating or participating in conversations?",Extraversion
southafrica,"A village decides to renovate the community center, and residents of all ages volunteer their time and skills to refurbish it. They organize communal workdays where everyone participates, creating a sense of accomplishment and unity. The revamped center becomes a hub for social gatherings and cultural events.",3,Assume you are discussing renovation ideas during a meeting with residents who have differing opinions. How would you approach finding a solution that satisfies everyone and fosters a sense of unity?,Agreeableness
southafrica,"A village decides to renovate the community center, and residents of all ages volunteer their time and skills to refurbish it. They organize communal workdays where everyone participates, creating a sense of accomplishment and unity. The revamped center becomes a hub for social gatherings and cultural events.",3,Imagine you are feeling stressed about the looming deadline for the renovation's completion. How would you manage your emotions and ensure that your stress does not affect your interactions with other volunteers?,Neuroticism
